node,year_construction,capacity_existing
AT,2049,43.22726266464325
BE,2049,7.064509936956469
BG,2049,1.9921872934631155
CZ,2049,39.18852234866592
DE,2049,300.78960798203894
DK,2049,14.962578869764217
ES,2049,12.470329142574913
FR,2049,143.27293327376842
HR,2049,3.177260333725027
HU,2049,34.58640535770427
IT,2049,264.32530870990433
NL,2049,72.7430985226957
PL,2049,34.48717988199269
PT,2049,3.639264672291562
RO,2049,18.187216706968524
SE,2049,3.668113396073732
SK,2049,32.60016935027116
UK,2049,52.07616193282642
