node,capacity_limit_energy
AT,91177.156643274
BE,8185.328823237492
BG,6258.545802094563
CZ,22754.817341053098
DE,235511.00287858603
DK,4991.01526
ES,31827.558396539753
FR,102103.69371649576
HR,6110.307716308838
HU,66633.61762826241
IT,195662.97720781216
NL,101152.14163591324
PL,34727.70236758037
PT,3668.378789669895
RO,31325.733078929057
SE,3673.613348445104
SK,55388.75115523585
UK,13849.912320260757
