node,year,availability_import
BG,2022,0.003537461781464968
BG,2023,0.0035225537546917864
BG,2024,0.0035076457279186045
BG,2025,0.0034927377011454226
BG,2026,0.0034893301521686957
BG,2027,0.0034859226031919684
BG,2028,0.003482515054215241
BG,2029,0.0034791075052385137
BG,2030,0.0034756999562617864
BG,2031,0.0034756999562617864
BG,2032,0.0034756999562617864
BG,2033,0.0034756999562617864
BG,2034,0.0034756999562617864
BG,2035,0.0034756999562617864
BG,2036,0.0034791075052385137
BG,2037,0.003482515054215241
BG,2038,0.0034859226031919684
BG,2039,0.0034893301521686957
BG,2040,0.0034927377011454226
BG,2041,0.0034927377011454226
BG,2042,0.0034927377011454226
BG,2043,0.0034927377011454226
BG,2044,0.0034927377011454226
BG,2045,0.0034927377011454226
BG,2046,0.0034927377011454226
BG,2047,0.0034927377011454226
BG,2048,0.0034927377011454226
BG,2049,0.0034927377011454226
BG,2050,0.0034927377011454226
DE,2022,0.09047335070046292
DE,2023,0.09009206626042485
DE,2024,0.08971078182038676
DE,2025,0.08932949738034869
DE,2026,0.08924234665119714
DE,2027,0.08915519592204557
DE,2028,0.08906804519289402
DE,2029,0.08898089446374245
DE,2030,0.0888937437345909
DE,2031,0.0888937437345909
DE,2032,0.0888937437345909
DE,2033,0.0888937437345909
DE,2034,0.0888937437345909
DE,2035,0.0888937437345909
DE,2036,0.08898089446374245
DE,2037,0.08906804519289402
DE,2038,0.08915519592204557
DE,2039,0.08924234665119714
DE,2040,0.08932949738034869
DE,2041,0.08932949738034869
DE,2042,0.08932949738034869
DE,2043,0.08932949738034869
DE,2044,0.08932949738034869
DE,2045,0.08932949738034869
DE,2046,0.08932949738034869
DE,2047,0.08932949738034869
DE,2048,0.08932949738034869
DE,2049,0.08932949738034869
DE,2050,0.08932949738034869
EE,2022,0.0
EE,2023,0.0
EE,2024,0.0
EE,2025,0.0
EE,2026,0.0
EE,2027,0.0
EE,2028,0.0
EE,2029,0.0
EE,2030,0.0
EE,2031,0.0
EE,2032,0.0
EE,2033,0.0
EE,2034,0.0
EE,2035,0.0
EE,2036,0.0
