edge,opex_specific_fixed
waste_410_CH-waste_367_CH,0
waste_110_CH-waste_367_CH,0
waste_417_CH-waste_367_CH,0
waste_362_CH-waste_279_CH,0
waste_280_CH-waste_279_CH,0
energy_344_CH-waste_279_CH,0
cement_176_CH-waste_279_CH,0
waste_280_CH-waste_282_CH,0
waste_289_CH-waste_282_CH,0
waste_287_CH-waste_282_CH,0
waste_283_CH-waste_282_CH,0
cement_177_CH-waste_270_CH,0
cement_175_CH-waste_270_CH,0
waste_274_CH-waste_136_CH,0
waste_230_CH-waste_115_CH,0
chemical_268_CH-waste_115_CH,0
waste_227_CH-waste_115_CH,0
waste_206_CH-waste_115_CH,0
waste_417_CH-waste_231_CH,0
cement_177_CH-waste_231_CH,0
waste_410_CH-cement_178_CH,0
energy_11_CH-cement_178_CH,0
cement_174_CH-cement_178_CH,0
waste_362_CH-chemical_435_CH,0
chemical_268_CH-chemical_435_CH,0
waste_417_CH-chemical_435_CH,0
waste_227_CH-waste_230_CH,0
energy_11_CH-waste_410_CH,0
chemical_268_CH-waste_362_CH,0
energy_344_CH-waste_362_CH,0
waste_283_CH-waste_280_CH,0
cement_176_CH-waste_280_CH,0
waste_417_CH-energy_344_CH,0
cement_176_CH-energy_344_CH,0
waste_287_CH-waste_289_CH,0
waste_286_CH-waste_289_CH,0
waste_417_CH-waste_289_CH,0
waste_283_CH-waste_287_CH,0
waste_286_CH-waste_287_CH,0
cement_175_CH-waste_287_CH,0
waste_206_CH-waste_227_CH,0
cement_174_CH-waste_227_CH,0
cement_175_CH-waste_283_CH,0
waste_110_CH-waste_274_CH,0
cement_179_CH-waste_274_CH,0
cement_175_CH-waste_286_CH,0
cement_174_CH-waste_206_CH,0
cement_179_CH-waste_110_CH,0
cement_179_CH-energy_11_CH,0
cement_174_CH-energy_11_CH,0
cement_177_CH-waste_417_CH,0
cement_175_CH-cement_177_CH,0
karlsruhe_DE-gernsheim_DE,0
gernsheim_DE-koeln_DE,0
koeln_DE-duisburg_DE,0
duisburg_DE-dortmund_DE,0
koeln_DE-dortmund_DE,0
dortmund_DE-wilhelmshaven_DE,0
gernsheim_DE-karlsruhe_DE,0
koeln_DE-gernsheim_DE,0
duisburg_DE-koeln_DE,0
dortmund_DE-duisburg_DE,0
dortmund_DE-koeln_DE,0
wilhelmshaven_DE-dortmund_DE,0
koeln_DE-zeebrugge_BE,0
koeln_DE-rotterdam_NL,0
duisburg_DE-wilhelmshaven_DE,0
duisburg_DE-rotterdam_NL,0
zeebrugge_BE-wilhelmshaven_DE,0
zeebrugge_BE-rotterdam_NL,0
wilhelmshaven_DE-rotterdam_NL,0
zeebrugge_BE-koeln_DE,0
rotterdam_NL-koeln_DE,0
wilhelmshaven_DE-duisburg_DE,0
rotterdam_NL-duisburg_DE,0
wilhelmshaven_DE-zeebrugge_BE,0
rotterdam_NL-zeebrugge_BE,0
rotterdam_NL-wilhelmshaven_DE,0
