decision_year,set_conversion_technologies,output_carrier,input_carrier,reference_carrier,set_nodes,revenue,capex,fixed_opex,variable_opex,input_carrier_cost,tech_co2_cost,carrier_co2_cost,profitability,values_changed
1,natural_gas_boiler,heat,natural_gas,heat,IT,1817.7461898385739,485.1149979482157,232.97863025965756,0.0,1142.809483906084,0.0,726.4111468283731,-769.5680691037567,False
1,natural_gas_turbine,electricity,natural_gas,electricity,CH,4736.105336630665,774.9663810184611,350.5050705837873,208.87532998154876,4416.794649100965,0.0,2807.474834206506,-3822.5109282606036,False
1,natural_gas_turbine,electricity,natural_gas,electricity,DE,3106.447683493553,774.9663810184611,350.5050705837873,140.45376262626723,2969.9794000018787,0.0,1887.8265996165858,-3017.283530353427,False
1,natural_gas_turbine,electricity,natural_gas,electricity,IT,3223.104067594259,774.9663810184611,350.5050705837873,146.1407577678503,3090.2343373035983,0.0,1964.264998271225,-3103.007477350663,False
1,photovoltaics,electricity,,electricity,CH,487.78213768403674,459.6626793296824,167.13187749459604,0.3752928872373708,0.0,0.0,0.0,-139.3877120274791,False
1,photovoltaics,electricity,,electricity,DE,194.63996987062615,459.6626793296824,167.13187749459604,0.32203388938864025,0.0,0.0,0.0,-432.47662084304096,False
1,photovoltaics,electricity,,electricity,IT,598.8670866589721,459.6626793296824,167.13187749459604,0.44646273752198323,0.0,0.0,0.0,-28.373932902828358,False
1,reservoir_hydro,electricity,,electricity,CH,1925.0095723622383,2527.202262215491,745.8234403723573,70.14913369258586,0.0,0.0,0.0,-1418.1652639181957,False
1,reservoir_hydro,electricity,,electricity,DE,5375.275664764123,2527.202262215491,745.8234403723573,124.1690875889075,0.0,0.0,0.0,1978.080874587367,False
1,reservoir_hydro,electricity,,electricity,IT,3243.52856468757,2527.202262215491,745.8234403723573,107.46189348641549,0.0,0.0,0.0,-136.95903138669365,False
1,run-of-river_hydro,electricity,,electricity,CH,1980.2645491826258,2914.483145134452,704.890578060412,64.28750716824155,0.0,0.0,0.0,-1703.3966811804798,False
1,run-of-river_hydro,electricity,,electricity,DE,5052.128883081917,2914.483145134452,704.890578060412,159.76017809467365,0.0,0.0,0.0,1272.994981792379,False
1,run-of-river_hydro,electricity,,electricity,IT,3275.2077367470984,2914.483145134452,704.890578060412,115.86435651944784,0.0,0.0,0.0,-460.03034296721364,False
1,wind_offshore,electricity,,electricity,CH,,,,,,,,-835.0577053650024,True
1,wind_offshore,electricity,,electricity,DE,2172.8774300482446,2280.720627620028,675.2030333189175,52.01147447430142,0.0,0.0,0.0,-835.0577053650024,False
1,wind_offshore,electricity,,electricity,IT,,,,,,,,-835.0577053650024,True
1,wind_onshore,electricity,,electricity,CH,447.78897309565485,1098.7799273228318,295.89548175251934,5.617357499970372,0.0,0.0,0.0,-952.5037934796666,False
