node,carbon_intensity
acorn_UK,2.74079190248832
aramis_NL,2.74079190248832
bifrost_DK,2.74079190248832
cement_174_CH,2.74079190248832
cement_175_CH,2.74079190248832
cement_176_CH,2.74079190248832
cement_177_CH,2.74079190248832
cement_179_CH,2.74079190248832
chemical_11_CH,2.74079190248832
chemical_16_CH,2.74079190248832
chemical_268_CH,2.74079190248832
coda_terminal_IS,2.74079190248832
dortmund_DE,2.74079190248832
duisburg_DE,2.74079190248832
emmerich_DE,2.74079190248832
energy_344_CH,2.74079190248832
energy_382_CH,2.74079190248832
gernsheim_DE,2.74079190248832
greensand_DK,2.74079190248832
havstjerne_NO,2.74079190248832
hewett_UK,2.74079190248832
karlsruhe_DE,2.74079190248832
kehl_DE,2.74079190248832
koblenz_DE,2.74079190248832
koeln_DE,2.74079190248832
l10_area_NL,2.74079190248832
luna_NO,2.74079190248832
norne_DK,2.74079190248832
northern_endurance_UK,2.74079190248832
northern_lights_NO,2.74079190248832
orion_UK,2.74079190248832
porthos_NL,2.74079190248832
poseidon_NO,2.74079190248832
poseidon_UK,2.74079190248832
rotterdam_NL,2.74079190248832
ruby_DK,2.74079190248832
smeaheia_NO,2.74079190248832
stenlille_DK,2.74079190248832
trudvang_NO,2.74079190248832
trullikon_CH,2.74079190248832
viking_UK,2.74079190248832
waste_110_CH,2.74079190248832
waste_206_CH,2.74079190248832
waste_223_CH,2.74079190248832
waste_227_CH,2.74079190248832
waste_230_CH,2.74079190248832
waste_274_CH,2.74079190248832
waste_278_CH,2.74079190248832
waste_280_CH,2.74079190248832
waste_282_CH,2.74079190248832
waste_283_CH,2.74079190248832
waste_286_CH,2.74079190248832
waste_287_CH,2.74079190248832
waste_289_CH,2.74079190248832
waste_290_CH,2.74079190248832
waste_362_CH,2.74079190248832
waste_367_CH,2.74079190248832
waste_410_CH,2.74079190248832
waste_417_CH,2.74079190248832
wilhelmshaven_DE,2.74079190248832
zeebrugge_BE,2.74079190248832
