node,carbon_intensity
acorn_UK,3.60813529394408
aramis_NL,3.60813529394408
bifrost_DK,3.60813529394408
cement_174_CH,3.60813529394408
cement_175_CH,3.60813529394408
cement_176_CH,3.60813529394408
cement_177_CH,3.60813529394408
cement_179_CH,3.60813529394408
chemical_11_CH,3.60813529394408
chemical_16_CH,3.60813529394408
chemical_268_CH,3.60813529394408
coda_terminal_IS,3.60813529394408
dortmund_DE,3.60813529394408
duisburg_DE,3.60813529394408
emmerich_DE,3.60813529394408
energy_344_CH,3.60813529394408
energy_382_CH,3.60813529394408
gernsheim_DE,3.60813529394408
greensand_DK,3.60813529394408
havstjerne_NO,3.60813529394408
hewett_UK,3.60813529394408
karlsruhe_DE,3.60813529394408
kehl_DE,3.60813529394408
koblenz_DE,3.60813529394408
koeln_DE,3.60813529394408
l10_area_NL,3.60813529394408
luna_NO,3.60813529394408
norne_DK,3.60813529394408
northern_endurance_UK,3.60813529394408
northern_lights_NO,3.60813529394408
orion_UK,3.60813529394408
porthos_NL,3.60813529394408
poseidon_NO,3.60813529394408
poseidon_UK,3.60813529394408
rotterdam_NL,3.60813529394408
ruby_DK,3.60813529394408
smeaheia_NO,3.60813529394408
stenlille_DK,3.60813529394408
trudvang_NO,3.60813529394408
trullikon_CH,3.60813529394408
viking_UK,3.60813529394408
waste_110_CH,3.60813529394408
waste_206_CH,3.60813529394408
waste_223_CH,3.60813529394408
waste_227_CH,3.60813529394408
waste_230_CH,3.60813529394408
waste_274_CH,3.60813529394408
waste_278_CH,3.60813529394408
waste_280_CH,3.60813529394408
waste_282_CH,3.60813529394408
waste_283_CH,3.60813529394408
waste_286_CH,3.60813529394408
waste_287_CH,3.60813529394408
waste_289_CH,3.60813529394408
waste_290_CH,3.60813529394408
waste_362_CH,3.60813529394408
waste_367_CH,3.60813529394408
waste_410_CH,3.60813529394408
waste_417_CH,3.60813529394408
wilhelmshaven_DE,3.60813529394408
zeebrugge_BE,3.60813529394408
