time,AT,BE,BG,CH,CZ,DE,EL,ES,FI,FR,HR,HU,IE,IT,LV,PT,RO,SE,SI,SK
22,0.181541163,0.202609047,0.148950353,0.096915763,0.093512174,0.358831204,0.098926551,1.0,0.693141767,0.185273481,0.182209497,0.226905101,0.969963583,0.188339425,0.068309645,0.275708364,0.18545678,0.711078049,0.212632825,0.239775199
23,0.17928167,0.213918982,0.146811868,0.097302559,0.114784127,0.358504023,0.101822223,1.0,0.695138331,0.193626549,0.182077942,0.23044906,0.975232845,0.190250162,0.06160813,0.302362609,0.182122047,0.710541544,0.234218114,0.278127975
24,0.178555157,0.212347643,0.139263632,0.098269095,0.089816472,0.361787084,0.103462513,1.0,0.702601137,0.200593576,0.181331011,0.163204983,0.977962812,0.193540337,0.059392982,0.403756425,0.186659678,0.710331188,0.212293449,0.267761114
25,0.17921721,0.194415336,0.139263632,0.101474864,0.109039176,0.367895162,0.103085827,1.0,0.700301376,0.215627819,0.181331011,0.16779481,0.978099564,0.196733081,0.060983603,0.384504439,0.172910024,0.71049498,0.211605107,0.245192924
26,0.183147406,0.179268029,0.139263632,0.106017253,0.08989598,0.368224574,0.098134776,1.0,0.698939395,0.228500367,0.181252519,0.186694785,0.974262292,0.20194365,0.063786564,0.367393106,0.175234731,0.710510011,0.211578832,0.368950749
27,0.188054422,0.170738662,0.139263632,0.10118688,0.090550728,0.36678842,0.093531895,0.415928016,0.692421347,0.229429472,0.181097419,0.181417946,0.9707617,0.209736505,0.065136929,0.391788758,0.171121824,0.71023972,0.21143046,0.362808438
28,0.188380075,0.162530243,0.139876003,0.099705803,0.093609308,0.366203991,0.090567782,0.518809616,0.693357238,0.241707664,0.180614868,0.165995947,0.971265222,0.216592994,0.066388133,0.404083227,0.165807002,0.71022686,0.211817472,0.367007477
29,0.187235919,0.167418743,0.139876003,0.104070444,0.092284939,0.370157077,0.08849312,0.573747084,0.689936975,0.245880826,0.18107152,0.163411609,0.969261676,0.225203442,0.06559636,0.376400588,0.164061679,0.709984319,0.21184532,0.319655473
30,0.185576102,0.159738556,0.139876003,0.108839614,0.089328375,0.375125131,0.087114624,0.391314061,0.689513293,0.271411072,0.18148011,0.164810112,0.970085024,0.230084347,0.0643315,0.369895017,0.164846451,0.709933488,0.212082499,0.328119604
31,0.183811659,0.170764693,0.139263632,0.113041144,0.14341186,0.38283809,0.088022084,0.418349372,0.689787186,0.296676012,0.190000151,0.1616328,0.968948425,0.23674859,0.065032036,0.268344044,0.159830208,0.709796108,0.214732999,0.244666251
32,0.189466696,0.162445989,0.139876003,0.129175354,0.164574142,0.382016156,0.085032081,0.397984148,0.689482508,0.308081596,0.208050024,0.177378108,0.967648747,0.259327371,0.067158788,0.198714433,0.167113075,0.709982822,0.285051262,0.122335186
33,0.193218513,0.147924287,0.139263632,0.148145965,0.246377259,0.385671668,0.087789295,0.358338795,0.689126318,0.310803982,0.210821471,0.166348993,0.966875445,0.287959529,0.067870008,0.211030985,0.176478625,0.709849697,0.303910689,0.101583412
34,0.197274778,0.139892692,0.139263632,0.16486081,0.261587104,0.386103367,0.089746101,0.314358654,0.688619487,0.306800886,0.228917264,0.180476093,0.967320665,0.322802748,0.070793174,0.209537337,0.16916957,0.709563467,0.287246088,0.095391905
35,0.197582232,0.141035527,0.139263632,0.16668375,0.211947101,0.392654687,0.106455728,0.549875869,0.687895246,0.303057251,0.284402582,0.168063047,0.970697454,0.350838339,0.068929153,0.216897021,0.174936322,0.709513387,0.256412889,0.094327046
36,0.195782306,0.135623385,0.139263632,0.158764174,0.167611237,0.396316889,0.108066765,0.686961853,0.687437634,0.293935673,0.364641991,0.168730315,0.971907236,0.349534487,0.071571413,0.234068738,0.170548633,0.709312868,0.222082438,0.097740576
37,0.197993504,0.133673798,0.139876003,0.149972111,0.098958938,0.397049071,0.095336943,0.79047992,0.688857247,0.272558224,0.450618065,0.166631315,0.97283562,0.334228795,0.068530236,0.22870798,0.178462483,0.709448275,0.224445998,0.111257956
