time,ES,DE,AT,FR,IT,CH
0,0.9364285824085342,0.9997589286625505,0.7194254273922326,0.902108528720682,0.7401861354009179,0.8271195229045349
1,0.9364285824085342,0.9997589286625505,0.7194254273922326,0.902108528720682,0.7401861354009179,0.8271195229045349
2,0.9364285824085342,0.9997589286625505,0.7194254273922326,0.902108528720682,0.7401861354009179,0.8271195229045349
3,0.9364285824085342,0.9997589286625505,0.7194254273922326,0.902108528720682,0.7401861354009179,0.8271195229045349
4,0.9364285824085342,0.9997589286625505,0.7194254273922326,0.902108528720682,0.7401861354009179,0.8271195229045349
5,0.9364285824085342,0.9997589286625505,0.7194254273922326,0.902108528720682,0.7401861354009179,0.8271195229045349
6,0.9364285824085342,0.9997589286625505,0.7194254273922326,0.902108528720682,0.7401861354009179,0.8271195229045349
7,0.9364285824085342,0.9997589286625505,0.7194254273922326,0.902108528720682,0.7401861354009179,0.8271195229045349
8,0.9364285824085342,0.9997589286625505,0.7194254273922326,0.902108528720682,0.7401861354009179,0.8271195229045349
9,0.9364285824085342,0.9997589286625505,0.7194254273922326,0.902108528720682,0.7401861354009179,0.8271195229045349
10,0.9364285824085342,0.9997589286625505,0.7194254273922326,0.902108528720682,0.7401861354009179,0.8271195229045349
11,0.9364285824085342,0.9997589286625505,0.7194254273922326,0.902108528720682,0.7401861354009179,0.8271195229045349
12,0.9364285824085342,0.9997589286625505,0.7194254273922326,0.902108528720682,0.7401861354009179,0.8271195229045349
13,0.9364285824085342,0.9997589286625505,0.7194254273922326,0.902108528720682,0.7401861354009179,0.8271195229045349
14,0.9364285824085342,0.9997589286625505,0.7194254273922326,0.902108528720682,0.7401861354009179,0.8271195229045349
15,0.9364285824085342,0.9997589286625505,0.7194254273922326,0.902108528720682,0.7401861354009179,0.8271195229045349
16,0.9364285824085342,0.9997589286625505,0.7194254273922326,0.902108528720682,0.7401861354009179,0.8271195229045349
17,0.9364285824085342,0.9997589286625505,0.7194254273922326,0.902108528720682,0.7401861354009179,0.8271195229045349
18,0.9364285824085342,0.9997589286625505,0.7194254273922326,0.902108528720682,0.7401861354009179,0.8271195229045349
19,0.9364285824085342,0.9997589286625505,0.7194254273922326,0.902108528720682,0.7401861354009179,0.8271195229045349
20,0.9364285824085342,0.9997589286625505,0.7194254273922326,0.902108528720682,0.7401861354009179,0.8271195229045349
21,0.9364285824085342,0.9997589286625505,0.7194254273922326,0.902108528720682,0.7401861354009179,0.8271195229045349
22,0.9364285824085342,0.9997589286625505,0.7194254273922326,0.902108528720682,0.7401861354009179,0.8271195229045349
23,0.9364285824085342,0.9997589286625505,0.7194254273922326,0.902108528720682,0.7401861354009179,0.8271195229045349
24,0.8844215894252218,0.9997623077315211,0.7237944029754152,0.9025375739800222,0.7399060875118555,0.8284746777370859
25,0.8844215894252218,0.9997623077315211,0.7237944029754152,0.9025375739800222,0.7399060875118555,0.8284746777370859
26,0.8844215894252218,0.9997623077315211,0.7237944029754152,0.9025375739800222,0.7399060875118555,0.8284746777370859
27,0.8844215894252218,0.9997623077315211,0.7237944029754152,0.9025375739800222,0.7399060875118555,0.8284746777370859
28,0.8844215894252218,0.9997623077315211,0.7237944029754152,0.9025375739800222,0.7399060875118555,0.8284746777370859
29,0.8844215894252218,0.9997623077315211,0.7237944029754152,0.9025375739800222,0.7399060875118555,0.8284746777370859
30,0.8844215894252218,0.9997623077315211,0.7237944029754152,0.9025375739800222,0.7399060875118555,0.8284746777370859
31,0.8844215894252218,0.9997623077315211,0.7237944029754152,0.9025375739800222,0.7399060875118555,0.8284746777370859
32,0.8844215894252218,0.9997623077315211,0.7237944029754152,0.9025375739800222,0.7399060875118555,0.8284746777370859
33,0.8844215894252218,0.9997623077315211,0.7237944029754152,0.9025375739800222,0.7399060875118555,0.8284746777370859
34,0.8844215894252218,0.9997623077315211,0.7237944029754152,0.9025375739800222,0.7399060875118555,0.8284746777370859
35,0.8844215894252218,0.9997623077315211,0.7237944029754152,0.9025375739800222,0.7399060875118555,0.8284746777370859
36,0.8844215894252218,0.9997623077315211,0.7237944029754152,0.9025375739800222,0.7399060875118555,0.8284746777370859
37,0.8844215894252218,0.9997623077315211,0.7237944029754152,0.9025375739800222,0.7399060875118555,0.8284746777370859
38,0.8844215894252218,0.9997623077315211,0.7237944029754152,0.9025375739800222,0.7399060875118555,0.8284746777370859
39,0.8844215894252218,0.9997623077315211,0.7237944029754152,0.9025375739800222,0.7399060875118555,0.8284746777370859
40,0.8844215894252218,0.9997623077315211,0.7237944029754152,0.9025375739800222,0.7399060875118555,0.8284746777370859
41,0.8844215894252218,0.9997623077315211,0.7237944029754152,0.9025375739800222,0.7399060875118555,0.8284746777370859
42,0.8844215894252218,0.9997623077315211,0.7237944029754152,0.9025375739800222,0.7399060875118555,0.8284746777370859
43,0.8844215894252218,0.9997623077315211,0.7237944029754152,0.9025375739800222,0.7399060875118555,0.8284746777370859
44,0.8844215894252218,0.9997623077315211,0.7237944029754152,0.9025375739800222,0.7399060875118555,0.8284746777370859
45,0.8844215894252218,0.9997623077315211,0.7237944029754152,0.9025375739800222,0.7399060875118555,0.8284746777370859
46,0.8844215894252218,0.9997623077315211,0.7237944029754152,0.9025375739800222,0.7399060875118555,0.8284746777370859
47,0.8844215894252218,0.9997623077315211,0.7237944029754152,0.9025375739800222,0.7399060875118555,0.8284746777370859
48,0.8409887162411969,0.9997658858113002,0.7280946298640699,0.9030542861526322,0.7397827907546537,0.8300344297145054
