node,year_construction,capacity_existing
AT,2049,6.0759
BE,2049,0.059015339743
BG,2049,0.0224
CH,2049,4.87232
CZ,2049,0.04022638227
DE,2049,2.70390501
EL,2049,0.1100999999999999
ES,2049,1.640764
FI,2049,1.2896
FR,2049,6.211502562518999
HR,2049,0.278667730292
HU,2049,0.0197
IE,2049,0.216
IT,2049,5.75696
LT,2049,0.101
LV,2049,0.7421
PL,2049,0.168
PT,2049,1.996
RO,2049,1.161
SE,2049,1.995
SI,2049,0.883851
SK,2049,0.61984
UK,2049,1.37
