decision_year,set_conversion_technologies,output_carrier,input_carrier,reference_carrier,set_nodes,revenue,capex,fixed_opex,variable_opex,input_carrier_cost,tech_co2_cost,carrier_co2_cost,profitability
0,heat_pump,heat,electricity,heat,CH,2107.653484894995,930.1261448256168,258.3244533693291,0.0,984.842891516843,0.0,0.0,-65.64000481679386
0,heat_pump,heat,electricity,heat,DE,1726.582134449718,930.1261448256168,258.3244533693291,0.0,603.7715410718951,0.0,0.0,-65.6400048171231
0,heat_pump,heat,electricity,heat,IT,1349.132295352728,930.1261448256168,258.3244533693291,0.0,737.9307516086391,0.0,0.0,-577.2490544508571
0,natural_gas_boiler,heat,natural_gas,heat,CH,2235.98094724915,487.186345248536,233.64857560184709,0.0,1558.4577227597583,0.0,790.9592312512676,-834.2709276122591
0,natural_gas_boiler,heat,natural_gas,heat,DE,1831.707528853276,487.186345248536,233.64857560184709,0.0,1477.6193070673548,0.0,749.9315599850687,-1116.6782590495304
0,natural_gas_boiler,heat,natural_gas,heat,IT,1364.501011176151,487.186345248536,233.64857560184709,0.0,1364.501011175981,0.0,692.5209808900819,-1413.3559017402947
0,natural_gas_turbine,electricity,natural_gas,electricity,CH,6224.433593787497,786.1179105736469,354.4608670187581,211.64532428680258,5531.676809334205,0.0,2807.4748340901156,-3466.942151516032
0,natural_gas_turbine,electricity,natural_gas,electricity,DE,2631.04006004271,786.1179105736469,354.4608670187581,97.28115679305299,2542.5929952892275,0.0,1290.4343644160601,-2439.8472340480357
0,natural_gas_turbine,electricity,natural_gas,electricity,IT,2224.595750323368,786.1179105736469,354.4608670187581,82.25311779739263,2149.8120298594695,0.0,1091.0874550136677,-2239.135629939567
0,photovoltaics,electricity,,electricity,CH,381.4198421218111,543.5962549146192,187.43991896488768,0.43278749415459056,0.0,0.0,0.0,-350.0491192518503
0,photovoltaics,electricity,,electricity,DE,175.4767454154816,543.5962549146192,187.43991896488768,0.3713692552236959,0.0,0.0,0.0,-555.930797719249
0,photovoltaics,electricity,,electricity,IT,479.83384621179374,543.5962549146192,187.43991896488768,0.5148605155626832,0.0,0.0,0.0,-251.7171881832757
0,reservoir_hydro,electricity,,electricity,CH,2220.951470776964,2527.3444444852207,745.8579801256698,70.151428789814,0.0,0.0,0.0,-1122.4023826237403
0,reservoir_hydro,electricity,,electricity,DE,6054.862868968148,2527.3444444852207,745.8579801256698,124.17315002147276,0.0,0.0,0.0,2657.487294335785
0,reservoir_hydro,electricity,,electricity,IT,3568.288236066533,2527.3444444852207,745.8579801256698,107.46540936070319,0.0,0.0,0.0,187.62040209493944
0,run-of-river_hydro,electricity,,electricity,CH,2319.1727573944036,2921.9083130985696,708.155058153122,57.50637404448365,0.0,0.0,0.0,-1368.3969879017714
0,run-of-river_hydro,electricity,,electricity,DE,5551.138435435303,2921.9083130985696,708.155058153122,159.9142580377295,0.0,0.0,0.0,1761.160806145882
0,run-of-river_hydro,electricity,,electricity,IT,3692.6557514737697,2921.9083130985696,708.155058153122,136.95827258706188,0.0,0.0,0.0,-74.36589236498367
0,wind_offshore,electricity,,electricity,CH,0.0,2397.264888566216,738.3090146155499,0.0,0.0,0.0,0.0,-3135.573903181766
0,wind_offshore,electricity,,electricity,DE,2225.058368681496,2397.264888566216,738.3090146155499,56.41412898877638,0.0,0.0,0.0,-966.9296634890461
0,wind_offshore,electricity,,electricity,IT,0.0,2397.264888566216,738.3090146155499,0.0,0.0,0.0,0.0,-3135.573903181766
0,wind_onshore,electricity,,electricity,CH,548.5927686763401,1133.4278986084237,303.2986148501366,5.8027646818781555,0.0,0.0,0.0,-893.9365094640983
0,wind_onshore,electricity,,electricity,DE,1374.5088419106967,1133.4278986084237,303.2986148501366,18.396864400839185,0.0,0.0,0.0,-80.61453594870272
0,wind_onshore,electricity,,electricity,IT,1053.4061184826148,1133.4278986084237,303.2986148501366,12.209773170426228,0.0,0.0,0.0,-395.5301681463716
1,heat_pump,heat,electricity,heat,CH,1809.1427519513927,868.6297540520345,212.8245116878343,0.0,794.5128518660907,0.0,0.0,-66.82436565456692
1,heat_pump,heat,electricity,heat,DE,1650.6928254711092,868.6297540520345,212.8245116878343,0.0,627.957833831865,0.0,0.0,-58.71927410062449
1,heat_pump,heat,electricity,heat,IT,1666.047326091616,868.6297540520345,212.8245116878343,0.0,643.3123344834214,0.0,0.0,-58.71927413167418
1,natural_gas_boiler,heat,natural_gas,heat,CH,1919.294966089192,485.1149979482157,232.97863025965756,0.0,1244.3582601639628,0.0,790.9592312293499,-834.1161535119938
1,natural_gas_boiler,heat,natural_gas,heat,DE,1751.1975919072606,485.1149979482157,232.97863025965756,0.0,1179.812428211952,0.0,749.9315599750247,-896.6400244875895
1,natural_gas_boiler,heat,natural_gas,heat,IT,1767.4869730335417,485.1149979482157,232.97863025965756,0.0,1142.8094838735637,0.0,726.4111468078694,-819.8272858557648
1,natural_gas_turbine,electricity,natural_gas,electricity,CH,4736.10525225166,774.9663810184611,350.5050705837873,208.8753264693635,4416.794574830922,0.0,2807.4747869995344,-3822.5108876504073
1,natural_gas_turbine,electricity,natural_gas,electricity,DE,1987.760878395448,774.9663810184611,350.5050705837873,90.12829711351355,1905.8171228675865,0.0,1211.4064692006853,-2345.0624623885856
1,natural_gas_turbine,electricity,natural_gas,electricity,IT,3174.4031112536773,774.9663810184611,350.5050705837873,143.93257754361716,3043.541036569717,0.0,1934.585043201976,-3073.126997663882
1,photovoltaics,electricity,,electricity,CH,480.3776444024662,459.6626793296824,167.13187749459604,0.3752928870401363,0.0,0.0,0.0,-146.79220530885243
1,photovoltaics,electricity,,electricity,DE,192.00053192877112,459.6626793296824,167.13187749459604,0.32203388934766036,0.0,0.0,0.0,-435.116058784855
1,photovoltaics,electricity,,electricity,IT,591.1773637009097,459.6626793296824,167.13187749459604,0.4464627375057993,0.0,0.0,0.0,-36.06365586087463
1,reservoir_hydro,electricity,,electricity,CH,1918.5956357684297,2527.202262215491,745.8234403723573,70.1491336655196,0.0,0.0,0.0,-1424.579200484938
1,reservoir_hydro,electricity,,electricity,DE,5335.884288905553,2527.202262215491,745.8234403723573,124.1691210923863,0.0,0.0,0.0,1938.6894652253186
1,reservoir_hydro,electricity,,electricity,IT,3230.103104232118,2527.202262215491,745.8234403723573,107.46189345984776,0.0,0.0,0.0,-150.38449181557826
1,run-of-river_hydro,electricity,,electricity,CH,1974.4335046759468,2914.483145134452,704.890578060412,64.2875079137729,0.0,0.0,0.0,-1709.2277264326906
1,run-of-river_hydro,electricity,,electricity,DE,5012.596099306035,2914.483145134452,704.890578060412,159.76017820286282,0.0,0.0,0.0,1233.462197908308
1,run-of-river_hydro,electricity,,electricity,IT,3267.680125208757,2914.483145134452,704.890578060412,120.43493966901204,0.0,0.0,0.0,-472.12853765511954
1,wind_offshore,electricity,,electricity,CH,0.0,2280.720627620028,675.2030333189175,0.0,0.0,0.0,0.0,-2955.9236609389454
1,wind_offshore,electricity,,electricity,DE,2149.5436162601486,2280.720627620028,675.2030333189175,50.589693770188624,0.0,0.0,0.0,-856.9697384489855
