super_edge,edge
offshore,rotterdam_NL-northern_endurance_UK
offshore,rotterdam_NL-northern_lights_NO
offshore,rotterdam_NL-orion_UK
offshore,rotterdam_NL-porthos_NL
offshore,rotterdam_NL-poseidon_NO
offshore,rotterdam_NL-poseidon_UK
offshore,rotterdam_NL-ruby_DK
offshore,rotterdam_NL-smeaheia_NO
offshore,rotterdam_NL-stenlille_DK
offshore,rotterdam_NL-trudvang_NO
offshore,rotterdam_NL-viking_UK
offshore,rotterdam_NL-wilhelmshaven_DE
offshore,rotterdam_NL-zeebrugge_BE
offshore,ruby_DK-norne_DK
offshore,ruby_DK-stenlille_DK
offshore,ruby_DK-wilhelmshaven_DE
offshore,smeaheia_NO-luna_NO
offshore,smeaheia_NO-northern_lights_NO
offshore,stenlille_DK-norne_DK
offshore,stenlille_DK-ruby_DK
offshore,trudvang_NO-acorn_UK
offshore,trudvang_NO-bifrost_DK
offshore,trudvang_NO-havstjerne_NO
offshore,trudvang_NO-luna_NO
CH,trullikon_CH-cement_175_CH
CH,trullikon_CH-chemical_16_CH
CH,trullikon_CH-waste_274_CH
CH,trullikon_CH-waste_283_CH
CH,trullikon_CH-waste_286_CH
CH,trullikon_CH-waste_287_CH
CH,trullikon_CH-waste_290_CH
offshore,viking_UK-hewett_UK
offshore,viking_UK-l10_area_NL
offshore,viking_UK-northern_endurance_UK
offshore,viking_UK-orion_UK
offshore,viking_UK-porthos_NL
CH,waste_110_CH-cement_177_CH
CH,waste_110_CH-cement_179_CH
CH,waste_110_CH-chemical_16_CH
CH,waste_110_CH-energy_382_CH
CH,waste_110_CH-waste_274_CH
CH,waste_110_CH-waste_410_CH
CH,waste_206_CH-cement_174_CH
CH,waste_206_CH-waste_227_CH
CH,waste_206_CH-waste_230_CH
CH,waste_223_CH-cement_174_CH
CH,waste_223_CH-chemical_11_CH
CH,waste_223_CH-waste_227_CH
CH,waste_223_CH-waste_230_CH
CH,waste_223_CH-waste_367_CH
CH,waste_223_CH-waste_410_CH
CH,waste_227_CH-cement_174_CH
CH,waste_227_CH-waste_206_CH
CH,waste_227_CH-waste_223_CH
CH,waste_227_CH-waste_230_CH
CH,waste_230_CH-chemical_268_CH
CH,waste_230_CH-waste_206_CH
CH,waste_230_CH-waste_223_CH
CH,waste_230_CH-waste_227_CH
CH,waste_230_CH-waste_367_CH
CH,waste_274_CH-cement_179_CH
CH,waste_274_CH-chemical_11_CH
CH,waste_274_CH-chemical_16_CH
CH,waste_274_CH-kehl_DE
CH,waste_274_CH-trullikon_CH
CH,waste_274_CH-waste_110_CH
CH,waste_278_CH-cement_176_CH
CH,waste_278_CH-energy_344_CH
CH,waste_278_CH-waste_280_CH
CH,waste_278_CH-waste_282_CH
CH,waste_278_CH-waste_289_CH
CH,waste_278_CH-waste_417_CH
CH,waste_280_CH-cement_176_CH
CH,waste_280_CH-waste_278_CH
CH,waste_280_CH-waste_282_CH
CH,waste_280_CH-waste_283_CH
CH,waste_282_CH-waste_278_CH
CH,waste_282_CH-waste_280_CH
CH,waste_282_CH-waste_283_CH
CH,waste_282_CH-waste_287_CH
CH,waste_282_CH-waste_289_CH
CH,waste_283_CH-trullikon_CH
CH,waste_283_CH-waste_280_CH
CH,waste_283_CH-waste_282_CH
CH,waste_283_CH-waste_287_CH
CH,waste_286_CH-trullikon_CH
CH,waste_286_CH-waste_287_CH
CH,waste_286_CH-waste_289_CH
CH,waste_286_CH-waste_290_CH
CH,waste_286_CH-waste_417_CH
CH,waste_287_CH-trullikon_CH
CH,waste_287_CH-waste_282_CH
CH,waste_287_CH-waste_283_CH
CH,waste_287_CH-waste_286_CH
CH,waste_287_CH-waste_289_CH
CH,waste_289_CH-waste_278_CH
CH,waste_289_CH-waste_282_CH
CH,waste_289_CH-waste_286_CH
CH,waste_289_CH-waste_287_CH
CH,waste_289_CH-waste_417_CH
CH,waste_290_CH-cement_175_CH
CH,waste_290_CH-cement_177_CH
CH,waste_290_CH-trullikon_CH
CH,waste_290_CH-waste_286_CH
CH,waste_290_CH-waste_417_CH
CH,waste_362_CH-cement_176_CH
CH,waste_362_CH-chemical_268_CH
CH,waste_362_CH-energy_344_CH
CH,waste_367_CH-chemical_268_CH
CH,waste_367_CH-energy_382_CH
CH,waste_367_CH-waste_223_CH
CH,waste_367_CH-waste_230_CH
CH,waste_367_CH-waste_410_CH
CH,waste_410_CH-cement_179_CH
CH,waste_410_CH-chemical_11_CH
CH,waste_410_CH-energy_382_CH
CH,waste_410_CH-waste_110_CH
CH,waste_410_CH-waste_223_CH
CH,waste_410_CH-waste_367_CH
CH,waste_417_CH-cement_177_CH
CH,waste_417_CH-chemical_268_CH
CH,waste_417_CH-energy_344_CH
CH,waste_417_CH-energy_382_CH
CH,waste_417_CH-waste_278_CH
CH,waste_417_CH-waste_286_CH
CH,waste_417_CH-waste_289_CH
CH,waste_417_CH-waste_290_CH
offshore,wilhelmshaven_DE-acorn_UK
offshore,wilhelmshaven_DE-aramis_NL
offshore,wilhelmshaven_DE-bifrost_DK
offshore,wilhelmshaven_DE-coda_terminal_IS
DE,wilhelmshaven_DE-dortmund_DE
DE,wilhelmshaven_DE-emmerich_DE
offshore,wilhelmshaven_DE-greensand_DK
offshore,wilhelmshaven_DE-havstjerne_NO
offshore,wilhelmshaven_DE-hewett_UK
offshore,wilhelmshaven_DE-l10_area_NL
