year,cement_179_CH,cement_174_CH,cement_176_CH,cement_177_CH,cement_175_CH
2025,1.0,1.0,1.0,1.0,1.0
2026,0.9956,0.9956,0.9956,0.9956,0.9956
2027,0.9912000000000001,0.9912000000000001,0.9912000000000001,0.9912000000000001,0.9912000000000001
2028,0.9868000000000001,0.9868000000000001,0.9868000000000001,0.9868000000000001,0.9868000000000001
2029,0.9824000000000002,0.9824000000000002,0.9824000000000002,0.9824000000000002,0.9824000000000002
2030,0.9780000000000002,0.9780000000000002,0.9780000000000002,0.9780000000000002,0.9780000000000002
2031,0.9736000000000002,0.9736000000000002,0.9736000000000002,0.9736000000000002,0.9736000000000002
2032,0.9692000000000003,0.9692000000000003,0.9692000000000003,0.9692000000000003,0.9692000000000003
2033,0.9648000000000003,0.9648000000000003,0.9648000000000003,0.9648000000000003,0.9648000000000003
2034,0.9604000000000004,0.9604000000000004,0.9604000000000004,0.9604000000000004,0.9604000000000004
2035,0.9560000000000004,0.9560000000000004,0.9560000000000004,0.9560000000000004,0.9560000000000004
2036,0.9516000000000004,0.9516000000000004,0.9516000000000004,0.9516000000000004,0.9516000000000004
2037,0.9472000000000005,0.9472000000000005,0.9472000000000005,0.9472000000000005,0.9472000000000005
2038,0.9428000000000005,0.9428000000000005,0.9428000000000005,0.9428000000000005,0.9428000000000005
2039,0.9384000000000006,0.9384000000000006,0.9384000000000006,0.9384000000000006,0.9384000000000006
2040,0.9340000000000006,0.9340000000000006,0.9340000000000006,0.9340000000000006,0.9340000000000006
2041,0.9296000000000006,0.9296000000000006,0.9296000000000006,0.9296000000000006,0.9296000000000006
2042,0.9252000000000007,0.9252000000000007,0.9252000000000007,0.9252000000000007,0.9252000000000007
2043,0.9208000000000007,0.9208000000000007,0.9208000000000007,0.9208000000000007,0.9208000000000007
2044,0.9164000000000008,0.9164000000000008,0.9164000000000008,0.9164000000000008,0.9164000000000008
2045,0.9120000000000008,0.9120000000000008,0.9120000000000008,0.9120000000000008,0.9120000000000008
2046,0.9076000000000009,0.9076000000000009,0.9076000000000009,0.9076000000000009,0.9076000000000009
2047,0.9032000000000009,0.9032000000000009,0.9032000000000009,0.9032000000000009,0.9032000000000009
2048,0.8988000000000009,0.8988000000000009,0.8988000000000009,0.8988000000000009,0.8988000000000009
2049,0.894400000000001,0.894400000000001,0.894400000000001,0.894400000000001,0.894400000000001
2050,0.89,0.89,0.89,0.89,0.89
