time,LT,UK,RO,IT,EL,PT,BG,BE,IE,PL,FI,SE,EE,ES,NO,HR,DE,SI,FR,NL,DK,LV
0,0.9992989354645758,0.993018127269772,0.8847791405542674,0.3999465562470892,0.9481891068493796,0.5173995272595431,0.9618678293734622,0.9925853057420116,0.9881142468707846,0.9546717120092038,0.9213736314650276,0.9637586865090552,0.9986483782274436,0.8739509021890355,0.9758796696882288,0.0524880076057305,0.9841721559341228,0.0,0.924966255597214,0.9987060159518292,0.994704875441083,0.9992767380321856
1,0.9992101660891316,0.9937314779969466,0.8623420293539042,0.3699274500550741,0.9494087310543649,0.5369270820186974,0.9480199883998566,0.9935445806247466,0.989028635415626,0.9564247328950825,0.9141908951900376,0.9591870926557492,0.9977439665254914,0.8704476203508336,0.9726862419703708,0.0427706766163866,0.9842143123777572,0.0,0.922357641594294,0.9984531920468463,0.9957571536268424,0.9990705381216896
2,0.9990359236827052,0.99502382085277,0.8508061650766665,0.3451566734061303,0.951990517605501,0.564447652089409,0.9386114317271812,0.9939228786763056,0.9885092328468444,0.9584828775446445,0.9078099680374826,0.9528090286456016,0.9960251938282604,0.8641642809845393,0.9719840036718844,0.0354138965923402,0.9838856883984424,0.0,0.9196600945356406,0.9983275424228226,0.9963230866499448,0.998725297105051
3,0.9988676832855584,0.9939589366071128,0.834670057746019,0.3281762482678848,0.9542742406473204,0.5953987096656752,0.9309433845948756,0.994087825087661,0.9845445560141932,0.9608846423935726,0.8888521804715747,0.9366516874341374,0.9942446558077432,0.8584243367105696,0.9712423754504598,0.0308711309879738,0.983133129638975,0.0,0.9174172905490102,0.9984615479401164,0.9968166250695129,0.9983541776210344
4,0.9986555776345408,0.988645869845431,0.7917385792585659,0.3197134166938143,0.955513482189958,0.6185814964130042,0.915030409692403,0.9939395246158776,0.9789554595656836,0.963109357278962,0.8656319290469116,0.9195565002618858,0.9928678028976726,0.8534443200391835,0.969476187006873,0.0279300974329001,0.9833804599803516,0.0,0.9143272060790266,0.9985636729465034,0.9970248072077572,0.9979242360048384
5,0.9984619679037656,0.9797047148616272,0.7208579875895791,0.3174411233122193,0.9555040685237088,0.6288866373088989,0.8796412618757163,0.9935371113875046,0.9649251684631396,0.9653221077925636,0.8449905626606675,0.9062313796683876,0.9909637673246334,0.8459018171322696,0.967825214745112,0.0244051232814142,0.9852887663666924,0.0,0.9085784653019526,0.9985655695112656,0.9968170180763156,0.9973748753844484
6,0.9982636633771692,0.9648078982842936,0.6316033257100603,0.3191598317743817,0.9543175191157016,0.6359775012481239,0.8192813741275995,0.9931989997372168,0.9336694976122012,0.9675407522420616,0.8402678870959651,0.907904566388421,0.9878106348568634,0.8311147293435865,0.965179123560207,0.0210278527468158,0.9874713130151428,0.0,0.8928263922627366,0.998775923995313,0.9963979607444754,0.99676322259538
7,0.998190955288888,0.9445183008868338,0.5336451773652247,0.3216038008616842,0.9517447597831522,0.6360006288746161,0.7331953178509207,0.9932054141062108,0.892826583655449,0.9705311077065638,0.8531928135850342,0.9212745262336413,0.9864683198924112,0.8143838074872845,0.9582776757334178,0.0178072731812028,0.9895972009560392,0.0,0.8707549680793455,0.999197095914468,0.9965624228635656,0.9962775278186344
8,0.9983228307850738,0.9212924089661444,0.4486992724762335,0.3193718977432763,0.947357727433976,0.6300491366058085,0.6383542341498811,0.993074463209452,0.8600556364024281,0.9723886163548672,0.8766072286283708,0.94031372453799,0.9887888965186667,0.8070230147836174,0.9455487010514844,0.0125954674514928,0.9916764934365488,0.0,0.8488714389738115,0.999326741189528,0.9973329214165912,0.9962379272106716
9,0.9985792703750288,0.901127998865237,0.3839801412316144,0.3063486619864856,0.9410146022086302,0.6242916478312599,0.5646083458126162,0.9926987646810554,0.8435982938889183,0.9739614446524424,0.9005724198752392,0.9572240954899158,0.992011856273868,0.8068810370518363,0.9322173536302586,0.0051314949051245,0.9918285402300412,0.0,0.8335434321581342,0.9993586111307944,0.9979304088218394,0.9966963550493704
10,0.9988424435863804,0.8890509838955819,0.3415694911731945,0.285065371167355,0.932389065286445,0.617317707289584,0.5132932429512451,0.9929687252287966,0.8456123401207936,0.9751775176833276,0.9269311934286542,0.972078351909112,0.994441009865304,0.8110133727307686,0.9221111274827106,0.0015743801256602,0.992018216015215,0.0,0.8279384405393263,0.9993388507713372,0.997916607025682,0.9973553838080916
