node,capacity_limit
BE,1.85
BG,0.45
DE,27.84
DK,27.31
EE,1.28
EL,0.03
ES,0.79
FI,21.27
FR,15.65
HR,5.47
IT,5.36
LT,2.94
LV,14.97
NL,47.75
PL,12.31
PT,0.01
RO,8.77
SE,31.04
UK,103.61
NO,820.2832823416685
