time,LT,AT,UK,CZ,RO,IT,EL,BG,CH,PT,SK,BE,IE,PL,FI,SE,EE,ES,NO,HR,HU,DE,SI,FR,NL,DK,LV
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.002419427344463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0007720227270178,0.0002371701867018,0.0,0.0,0.0,0.0,0.0,0.0,0.0018090981272082,0.0,0.0,0.0,0.0,0.0,0.0017010786103526,0.0017538827768829,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0002417096328593,0.0,0.0073714446038284,0.0021251166615129,0.0696890914445568,0.0103888657059691,0.0,0.0,0.0,0.0,0.0,0.0,0.0039870574545313,0.0013127829870513,0.0,0.0026989935467225,0.0,0.0008876590969288,4.146377735371743e-05,0.0008075171351509,0.0,0.000316011264739,0.0,0.0,0.0
7,0.0158413912360721,0.0042950755828106,0.0016154654790097,0.0022344876420152,0.0602139112434053,0.0792114793718243,0.2098981206850652,0.0587440059295488,0.0001403561565024,0.0,0.0071246381303294,0.0,0.0,0.0043218219876922,0.0,0.0001507276945272,0.0,0.0014440230294109,0.0026767693047086,0.0657604525507331,0.0434534008763708,0.0001344346880682,0.0115007418724034,0.0044981670328911,0.0,0.0,0.0032471778697287
8,0.0890516626682584,0.036752640449103,0.0002022859917133,0.0244872858224415,0.1184646391101234,0.17842212907641,0.3191099757256144,0.0776802636291,0.0309693997515497,0.0319369394972383,0.0284180098595798,0.0026157146731308,0.0,0.0298987530444654,0.0114393594943986,0.0018514312618793,0.0290861663242519,0.0836422360699112,0.0018452459063378,0.1501658478288755,0.1111079066100192,0.0121838870656897,0.0470390246421549,0.0736532523534307,0.0153193284803614,0.00668370861036,0.0574081140970528
9,0.1859198723291137,0.0737793980973853,0.0109911984669397,0.0506893030956718,0.1797885104946744,0.2742473044352989,0.4057449162248052,0.0931506652875287,0.0853075331808019,0.1325483387590486,0.0406663867519006,0.0210745520669766,0.0032961350112621,0.0585928306307203,0.0683962758933577,0.0206394721289006,0.1090643381942023,0.2280204666204748,0.0030192229279423,0.1987711196522338,0.1580721120168044,0.03730326393749,0.0768107302701968,0.1805474430884921,0.0907002248028102,0.0386284653183671,0.1756005288257327
