time,LT,AT,UK,CZ,RO,IT,EL,BG,CH,PT,SK,BE,IE,PL,FI,SE,EE,ES,NO,HR,HU,DE,SI,FR,NL,DK,LV
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.002141303512917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0001308135818864,0.0002712566315163,0.0,0.0,0.0,0.0,0.0,0.0,0.0016502239576111,0.0,0.0,0.0,0.0,0.0,0.0016516824020071,0.0016382988320419,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0002014284285666,0.0,0.0025161000288147,0.000359530317147,0.1001639100198485,0.0340637633833398,0.0,0.0,0.0,0.0,0.0,0.0,0.0039163225228722,0.0013048056411387,0.0,0.0026688499705935,0.0,0.0,0.0,0.0005071852419343,0.0,0.0003130146316177,0.0,0.0023056668796804,0.0
7,0.0145030952799515,0.0021206548793609,0.0016936118340524,0.015145361815369,0.0358785719025425,0.0443005735851568,0.2751133275738857,0.1337021850075695,0.0,0.0,0.0026027181855253,0.0,0.0,0.0125090956920436,0.0,0.0,0.0,0.0009971210036424,0.0026060447961746,0.0282307155873198,0.0287536031697153,0.0050899958596762,0.0,0.0024828685301615,0.0,0.0,0.0020344514784101
8,0.0719208483524222,0.032653819771439,0.0023420316163211,0.1158124192490813,0.076104383932441,0.1317037604763336,0.4191712953181553,0.2216614628280692,0.0192850357952354,0.0347575585932741,0.0202357728303906,0.0240521183489083,0.0,0.0650680995875824,0.0094420330384148,0.0045674744307627,0.0276602166811185,0.1005036048016252,0.0018666385981977,0.0754590419402719,0.0798584582677079,0.0797575478528289,0.0076016907033055,0.03697840673956,0.0239087634816221,0.0086610301902045,0.0474444977499234
9,0.1401463543702616,0.0732778181404528,0.0559191796694448,0.2245942180623429,0.1038471214576839,0.2128172576422339,0.5310164453446814,0.3005924507093077,0.0507588636842417,0.14793805951152,0.0381234286838837,0.1029915831722814,0.0261776271374677,0.1233335193325351,0.0433543517398438,0.0185176844218534,0.0797954648813002,0.291077896443756,0.0016887776006867,0.1200321983870738,0.1281605334147509,0.1664311675142364,0.017625017024845,0.1068480122271696,0.1215949438085606,0.0376832368969999,0.1014608124777199
