time,LT,AT,UK,CZ,RO,IT,EL,BG,CH,PT,SK,BE,IE,PL,FI,SE,EE,ES,NO,HR,HU,DE,SI,FR,NL,DK,LV
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0028160580323522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0001549498679391,0.0002877811659353,0.0,0.0,0.0,0.0,0.0,0.0,0.0014649633050476,0.0,0.0,0.0,0.0,0.0,0.0017652697125023,0.001781730809696,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0350784612123867,0.0035844443135026,0.0678881786365392,0.0645791810954968,0.0,0.0,0.0,0.0,0.0,0.0,0.0036841345347016,0.00125011319816,0.0,0.0026285247009883,0.0,0.0006993802033795,0.0001106342149696,0.0007834236161432,0.0,0.0006494668702593,0.0,0.0,0.0
7,0.0068675101430694,0.0184418991393794,0.001595245679318,0.0022262544341698,0.1736291875310278,0.1093285790881583,0.2217943899692997,0.2596039336892556,0.0062784050685971,0.0,0.0227156106040203,0.0,0.0,0.0076564051753188,0.0022282379695389,0.0002373717753553,0.0,0.0001384876781361,0.0025636991606995,0.0777838862644869,0.0785013723159213,0.0016504876627898,0.0324850845523317,0.0030467565625042,0.0,0.0,0.0004350159136502
8,0.032977043142036,0.141379906375384,3.627687473546512e-05,0.0321599008524428,0.3129622062565029,0.2619557922388734,0.3736626511790169,0.4242192266827495,0.0983761359756156,0.0327924476714892,0.0425021126681272,0.0002843725946121,0.0,0.0428731896498932,0.0035237529635962,0.0043630651765686,0.0220561463787619,0.0679495761853402,0.0044656820225172,0.2039672209493986,0.1707154550688659,0.0394121137023672,0.1403814465179137,0.0511689160749302,0.0042534783533908,0.0134783091116343,0.0222165442063774
9,0.0513229282164518,0.2868683375843303,0.0166941648718417,0.0794921825631361,0.437157258206967,0.3923322707477861,0.5123017135803691,0.5557901968565033,0.205597599168863,0.1451009614467524,0.0714385624875394,0.0118527766611091,0.0060515743368416,0.081217817661746,0.0176380503139961,0.0294460016160144,0.0566213570369232,0.2330807212775502,0.0079510742202385,0.3273147311438076,0.2482253603662129,0.1091468566862994,0.258418231706804,0.1390796494297369,0.0173147981263942,0.0881431289940802,0.0377561096727934
