node,capacity_limit
AT,146.92
BE,104.06
BG,298.95
CZ,223.08
DE,987.83
DK,151.79999999999998
EE,55.33
EL,313.82
ES,1315.46
FI,72.47
FR,1644.49
HR,99.46000000000001
HU,321.4
IE,226.61
IT,885.69
LT,186.67
LU,6.18
LV,96.4
NL,134.83
PL,893.39
PT,183.75
RO,761.24
SE,141.16
SI,35.68
SK,119.88
UK,693.1
CH,59.717949108504165
NO,28.532725082404813
