time,LT,AT,UK,CZ,RO,IT,EL,BG,CH,PT,SK,BE,IE,PL,FI,SE,EE,ES,NO,HR,HU,DE,SI,FR,NL,DK,LV
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0022229189804685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0002318250546448,0.0,0.0008063336583908,8.346448811879306e-05,0.0,0.0,0.0,0.0,0.0,0.0,8.345701967214623e-05,0.0,0.0,0.0,0.0,0.0,0.0017849800535672,0.0017951790392133,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,4.440492747994286e-05,0.0,0.0019186976852079,0.0024977208084257,0.0701064779524441,0.012550555782404,0.0,0.0,0.0,0.0,0.0,0.0,0.0038173598511869,0.0013436661161938,0.0,0.0026575286929117,0.0,0.0,0.0,0.0007933897519192,0.0,0.0003172870368508,0.0,0.0023447542202658,0.0
7,0.0062111859750339,0.0184155631736656,0.0015788313869472,0.0132839166834157,0.0206591809698192,0.1032085872584435,0.2078351708870816,0.0670130682107741,0.0074071336690575,0.0,0.0597291470354909,0.0,0.0,0.0222274096755689,0.0,3.1864228331074465e-05,0.0,0.0014977937383816,0.0026350285088169,0.0411414332775483,0.0483359846050038,0.0014495217070599,0.0255746215514155,0.0071426467784821,0.0,0.0,9.420928229014898e-06
8,0.0452380857005057,0.1384988330993601,0.0,0.0752350233307823,0.0450457031128248,0.2555345388994876,0.3253516639808536,0.128455097659938,0.0938855790948297,0.0296138913852741,0.2084841666270918,0.0052833728983511,0.0,0.1121215728102758,0.0025867781045932,0.0100438596115043,0.0102997434967382,0.0881871135535452,0.0018383100310966,0.1319053436579302,0.1635347663459571,0.0637118349952622,0.1123287082009213,0.0623941320672497,0.008463302760529,0.0115617707513474,0.0223526793878616
9,0.091849016410003,0.2648267700877595,0.0066374458463442,0.122309270633941,0.0719274325223585,0.384262596251913,0.4271027193899865,0.1926340584083718,0.1914764272390821,0.1224352554982445,0.345040623855684,0.0198792496521954,0.006699342388691,0.2109030590952056,0.0188353328034135,0.0531155687810447,0.0342204098808426,0.2334382017599953,0.0026373866237307,0.2239363278811792,0.2864585566406618,0.1462053110057048,0.2524918905249801,0.1384977155617493,0.0265082512182417,0.0490053643018197,0.05296590595723
