time,LT,AT,UK,CZ,RO,IT,EL,BG,CH,PT,SK,BE,IE,PL,FI,SE,EE,ES,NO,HR,HU,DE,SI,FR,NL,DK,LV
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0024052014250494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0001496052330061,0.0005959895505506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016627589448511,0.0016255141187771,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0202195688649261,0.0027771925979904,0.1120583850243951,0.0649709667363183,0.0,0.0,0.0,0.0,0.0,0.0,0.0252696081761218,0.0012811980242737,0.0,0.0025119959772435,0.0,0.000657198072027,0.0,0.0005195550965917,0.0,0.0006571118293874,0.0,0.0022827026918142,0.0
7,0.000321489270379,0.0173335429129746,0.0009586461805951,0.0224442105943823,0.0940667607777222,0.1009523376319396,0.3129613891026699,0.242282855092008,0.0,0.0,0.0347818629243269,0.0,0.0,0.0135977740050653,0.0,0.0,0.0,0.0010394979938645,0.0039460527632381,0.0334174726962344,0.0193833050061731,0.0054364575427599,0.0046912888582205,0.0046356217430518,0.0,0.0,1.9621174346729508e-05
8,0.0120430282276269,0.1216585463439972,2.48465854689326e-05,0.1342148294040747,0.1653180833258764,0.2434634231128685,0.4732811779271035,0.3974869308964767,0.0308508330203071,0.006472397177207,0.1182253532714623,0.0320259263486669,0.0,0.0734534639030208,0.0103272872171759,0.0009645184141103,0.0271718774234938,0.0733588835920945,0.0,0.089996919638397,0.0691077730512982,0.0924878849047442,0.0235232385304299,0.0611028643803523,0.020187817616354,0.0089675454586566,0.0233264044906587
9,0.0211916339375954,0.2410470146021659,0.024926025669947,0.2556259776800256,0.2317587908694285,0.3651854823426921,0.597717723301393,0.5178077925342347,0.0796313620318498,0.0333023035578833,0.1952313175155766,0.11402107645616,0.0270312268268804,0.1466731591980098,0.056993616967588,0.0120813269070662,0.0671451114846939,0.1894114572084445,0.0186039149114986,0.1418365749594916,0.1123301857313153,0.2149857090051071,0.0445753614625125,0.1610681755919145,0.0769364268274165,0.0390525076583901,0.0448138514087754
