time,LT,AT,UK,CZ,RO,IT,EL,BG,CH,PT,SK,BE,IE,PL,FI,SE,EE,ES,NO,HR,HU,DE,SI,FR,NL,DK,LV
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0021124608087468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0001457770494922,0.0004223549550377,0.0,0.0,0.0,0.0,0.0,0.0,0.0015498662072195,0.0,0.0,0.0,0.0,0.0,0.0018235800373474,0.0018049790960317,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0035276112593296,0.0018306105978339,0.1054865057664446,0.0119987544209889,0.0,0.0,0.0,0.0,0.0,0.0,0.0040810641513312,0.0013915562969692,0.0,0.0026617642236403,0.0,0.0,0.0,0.0008308077658153,0.0,0.000733646294571,0.0,0.0,0.0
7,0.0275118894018675,0.0269178473484083,0.0018358811684983,0.023621470237433,0.0312642094057296,0.0767152560987828,0.2752994550330186,0.0357348646831799,0.0195271896772562,0.0,0.0794662201795206,0.0,0.0,0.0511313375183499,0.0026207645871122,0.0019355207909267,0.0,0.0001118936978158,0.0027556172399825,0.0522752243081912,0.0522198857943336,0.0054587446395239,0.041208018538264,0.0074224285995348,0.0,0.0,0.0015439633805819
8,0.1259199820179394,0.2155093100769923,0.0022192604072613,0.0813376652068441,0.0641254122084527,0.2182267047177968,0.3941732638690599,0.047350858616236,0.3044536666516179,0.0346950021276574,0.2241711204195144,0.0412220350243848,0.0,0.1680442026725344,0.0159855538531095,0.0109172808016197,0.0492171779587794,0.0591548726603052,0.0,0.1634505732222058,0.1548797225877706,0.1449023066925593,0.191398793181145,0.1640713572264406,0.0290580126115881,0.0191036967657659,0.0456642259418186
9,0.2477627265573325,0.3727758801538284,0.0612739298016996,0.1721721639601383,0.0922136046827027,0.3446540717297176,0.4722093249312922,0.0647287056878182,0.5868153249015369,0.1431281033984674,0.3533154681388279,0.1787447928112019,0.0080494974471712,0.2881095721558869,0.0922374540988822,0.0554832602168701,0.2006199604861548,0.1881477494380576,0.0037182783559651,0.263091170426992,0.2915067406594863,0.3240433294369788,0.3239808075740786,0.3770160439391875,0.1475311585582787,0.0833706153735598,0.1395790933560337
