node,capacity_limit
AT,5.142919999999999
BE,0.01273566879
BG,1.49954
CH,9.53123
CZ,0.711483902285
DE,0.1895
EL,2.5862
ES,16.963432
FI,1.345
FR,9.079638216549
HR,1.327624458599
HU,0.028
IE,0.001
IT,5.48524
LT,0.101
LV,0.884
NO,32.3149466
PL,0.418353910828
PT,1.3304
RO,5.3034801274
SE,11.645763516856
SI,0.60219
SK,0.8044000000000001
UK,0.524
