node,capacity_limit_energy
AT,1556.065646117692
BE,0.8112652
BG,1452.631666834
CH,3460.7326827400007
CZ,346.95936114500006
DE,38.0575135
EL,1855.0
ES,8491.220213277002
FI,609.3469074000001
FR,3016.2202445
HR,1034.5653195500001
HU,3.58187625
IE,18.65208
IT,1654.0887080362002
LT,42.854658
LV,46.33
NO,40085.348997999994
PL,25.148544
PT,1118.4033360399999
RO,1682.4052376875004
SE,5166.465461299998
SI,3.582723616
SK,0.14372631
UK,37.027620350999996
