time,ES,AT,FR,NO,RO,IT,BG,PT,CH,SE
0,1.9041983949058976,0.5200660705363093,2.212376003500822,16.984757286677446,0.543737245915093,0.5650885953526328,0.41486540613170725,0.43860863146630485,2.5226269555228726,6.169839494729856
1,1.9041983949058976,0.5200660705363093,2.212376003500822,16.984757286677446,0.543737245915093,0.5650885953526328,0.41486540613170725,0.43860863146630485,2.5226269555228726,6.169839494729856
2,1.9041983949058976,0.5200660705363093,2.212376003500822,16.984757286677446,0.543737245915093,0.5650885953526328,0.41486540613170725,0.43860863146630485,2.5226269555228726,6.169839494729856
3,1.9041983949058976,0.5200660705363093,2.212376003500822,16.984757286677446,0.543737245915093,0.5650885953526328,0.41486540613170725,0.43860863146630485,2.5226269555228726,6.169839494729856
4,1.9041983949058976,0.5200660705363093,2.212376003500822,16.984757286677446,0.543737245915093,0.5650885953526328,0.41486540613170725,0.43860863146630485,2.5226269555228726,6.169839494729856
5,1.9041983949058976,0.5200660705363093,2.212376003500822,16.984757286677446,0.543737245915093,0.5650885953526328,0.41486540613170725,0.43860863146630485,2.5226269555228726,6.169839494729856
6,1.9041983949058976,0.5200660705363093,2.212376003500822,16.984757286677446,0.543737245915093,0.5650885953526328,0.41486540613170725,0.43860863146630485,2.5226269555228726,6.169839494729856
7,1.9041983949058976,0.5200660705363093,2.212376003500822,16.984757286677446,0.543737245915093,0.5650885953526328,0.41486540613170725,0.43860863146630485,2.5226269555228726,6.169839494729856
8,1.9041983949058976,0.5200660705363093,2.212376003500822,16.984757286677446,0.543737245915093,0.5650885953526328,0.41486540613170725,0.43860863146630485,2.5226269555228726,6.169839494729856
9,1.9041983949058976,0.5200660705363093,2.212376003500822,16.984757286677446,0.543737245915093,0.5650885953526328,0.41486540613170725,0.43860863146630485,2.5226269555228726,6.169839494729856
10,1.9041983949058976,0.5200660705363093,2.212376003500822,16.984757286677446,0.543737245915093,0.5650885953526328,0.41486540613170725,0.43860863146630485,2.5226269555228726,6.169839494729856
11,1.9041983949058976,0.5200660705363093,2.212376003500822,16.984757286677446,0.543737245915093,0.5650885953526328,0.41486540613170725,0.43860863146630485,2.5226269555228726,6.169839494729856
12,1.9041983949058976,0.5200660705363093,2.212376003500822,16.984757286677446,0.543737245915093,0.5650885953526328,0.41486540613170725,0.43860863146630485,2.5226269555228726,6.169839494729856
13,1.9041983949058976,0.5200660705363093,2.212376003500822,16.984757286677446,0.543737245915093,0.5650885953526328,0.41486540613170725,0.43860863146630485,2.5226269555228726,6.169839494729856
14,1.9041983949058976,0.5200660705363093,2.212376003500822,16.984757286677446,0.543737245915093,0.5650885953526328,0.41486540613170725,0.43860863146630485,2.5226269555228726,6.169839494729856
15,1.9041983949058976,0.5200660705363093,2.212376003500822,16.984757286677446,0.543737245915093,0.5650885953526328,0.41486540613170725,0.43860863146630485,2.5226269555228726,6.169839494729856
16,1.9041983949058976,0.5200660705363093,2.212376003500822,16.984757286677446,0.543737245915093,0.5650885953526328,0.41486540613170725,0.43860863146630485,2.5226269555228726,6.169839494729856
17,1.9041983949058976,0.5200660705363093,2.212376003500822,16.984757286677446,0.543737245915093,0.5650885953526328,0.41486540613170725,0.43860863146630485,2.5226269555228726,6.169839494729856
18,1.9041983949058976,0.5200660705363093,2.212376003500822,16.984757286677446,0.543737245915093,0.5650885953526328,0.41486540613170725,0.43860863146630485,2.5226269555228726,6.169839494729856
19,1.9041983949058976,0.5200660705363093,2.212376003500822,16.984757286677446,0.543737245915093,0.5650885953526328,0.41486540613170725,0.43860863146630485,2.5226269555228726,6.169839494729856
20,1.9041983949058976,0.5200660705363093,2.212376003500822,16.984757286677446,0.543737245915093,0.5650885953526328,0.41486540613170725,0.43860863146630485,2.5226269555228726,6.169839494729856
21,1.9041983949058976,0.5200660705363093,2.212376003500822,16.984757286677446,0.543737245915093,0.5650885953526328,0.41486540613170725,0.43860863146630485,2.5226269555228726,6.169839494729856
22,1.9041983949058976,0.5200660705363093,2.212376003500822,16.984757286677446,0.543737245915093,0.5650885953526328,0.41486540613170725,0.43860863146630485,2.5226269555228726,6.169839494729856
23,1.9041983949058976,0.5200660705363093,2.212376003500822,16.984757286677446,0.543737245915093,0.5650885953526328,0.41486540613170725,0.43860863146630485,2.5226269555228726,6.169839494729856
24,1.9041983949058976,0.5200660705363093,2.212376003500822,16.984757286677446,0.543737245915093,0.5650885953526328,0.41486540613170725,0.43860863146630485,2.5226269555228726,6.169839494729856
25,1.9041983949058976,0.5200660705363093,2.212376003500822,16.984757286677446,0.543737245915093,0.5650885953526328,0.41486540613170725,0.43860863146630485,2.5226269555228726,6.169839494729856
26,1.9041983949058976,0.5200660705363093,2.212376003500822,16.984757286677446,0.543737245915093,0.5650885953526328,0.41486540613170725,0.43860863146630485,2.5226269555228726,6.169839494729856
27,1.9041983949058976,0.5200660705363093,2.212376003500822,16.984757286677446,0.543737245915093,0.5650885953526328,0.41486540613170725,0.43860863146630485,2.5226269555228726,6.169839494729856
28,1.9041983949058976,0.5200660705363093,2.212376003500822,16.984757286677446,0.543737245915093,0.5650885953526328,0.41486540613170725,0.43860863146630485,2.5226269555228726,6.169839494729856
29,1.9041983949058976,0.5200660705363093,2.212376003500822,16.984757286677446,0.543737245915093,0.5650885953526328,0.41486540613170725,0.43860863146630485,2.5226269555228726,6.169839494729856
30,1.9041983949058976,0.5200660705363093,2.212376003500822,16.984757286677446,0.543737245915093,0.5650885953526328,0.41486540613170725,0.43860863146630485,2.5226269555228726,6.169839494729856
31,1.9041983949058976,0.5200660705363093,2.212376003500822,16.984757286677446,0.543737245915093,0.5650885953526328,0.41486540613170725,0.43860863146630485,2.5226269555228726,6.169839494729856
32,1.9041983949058976,0.5200660705363093,2.212376003500822,16.984757286677446,0.543737245915093,0.5650885953526328,0.41486540613170725,0.43860863146630485,2.5226269555228726,6.169839494729856
33,1.9041983949058976,0.5200660705363093,2.212376003500822,16.984757286677446,0.543737245915093,0.5650885953526328,0.41486540613170725,0.43860863146630485,2.5226269555228726,6.169839494729856
34,1.9041983949058976,0.5200660705363093,2.212376003500822,16.984757286677446,0.543737245915093,0.5650885953526328,0.41486540613170725,0.43860863146630485,2.5226269555228726,6.169839494729856
35,1.9041983949058976,0.5200660705363093,2.212376003500822,16.984757286677446,0.543737245915093,0.5650885953526328,0.41486540613170725,0.43860863146630485,2.5226269555228726,6.169839494729856
36,1.9041983949058976,0.5200660705363093,2.212376003500822,16.984757286677446,0.543737245915093,0.5650885953526328,0.41486540613170725,0.43860863146630485,2.5226269555228726,6.169839494729856
37,1.9041983949058976,0.5200660705363093,2.212376003500822,16.984757286677446,0.543737245915093,0.5650885953526328,0.41486540613170725,0.43860863146630485,2.5226269555228726,6.169839494729856
38,1.9041983949058976,0.5200660705363093,2.212376003500822,16.984757286677446,0.543737245915093,0.5650885953526328,0.41486540613170725,0.43860863146630485,2.5226269555228726,6.169839494729856
39,1.9041983949058976,0.5200660705363093,2.212376003500822,16.984757286677446,0.543737245915093,0.5650885953526328,0.41486540613170725,0.43860863146630485,2.5226269555228726,6.169839494729856
40,1.9041983949058976,0.5200660705363093,2.212376003500822,16.984757286677446,0.543737245915093,0.5650885953526328,0.41486540613170725,0.43860863146630485,2.5226269555228726,6.169839494729856
41,1.9041983949058976,0.5200660705363093,2.212376003500822,16.984757286677446,0.543737245915093,0.5650885953526328,0.41486540613170725,0.43860863146630485,2.5226269555228726,6.169839494729856
42,1.9041983949058976,0.5200660705363093,2.212376003500822,16.984757286677446,0.543737245915093,0.5650885953526328,0.41486540613170725,0.43860863146630485,2.5226269555228726,6.169839494729856
43,1.9041983949058976,0.5200660705363093,2.212376003500822,16.984757286677446,0.543737245915093,0.5650885953526328,0.41486540613170725,0.43860863146630485,2.5226269555228726,6.169839494729856
44,1.9041983949058976,0.5200660705363093,2.212376003500822,16.984757286677446,0.543737245915093,0.5650885953526328,0.41486540613170725,0.43860863146630485,2.5226269555228726,6.169839494729856
