node,year_construction,capacity_existing
AT,2049,5.142919999999999
BE,2049,0.01273566879
BG,2049,1.49954
CH,2049,9.53123
CZ,2049,0.711483902285
DE,2049,0.1895
EL,2049,2.5862
ES,2049,16.963432
FI,2049,1.345
FR,2049,9.079638216549
HR,2049,1.327624458599
HU,2049,0.028
IE,2049,0.001
IT,2049,5.48524
LT,2049,0.101
LV,2049,0.884
NO,2049,32.3149466
PL,2049,0.418353910828
PT,2049,1.3304
RO,2049,5.3034801274
SE,2049,11.645763516856
SI,2049,0.60219
SK,2049,0.8044000000000001
UK,2049,0.524
