year,price_import
2022,0.7268407128823986
2023,0.7268407128823986
2024,0.4315696550601094
2025,0.4315696550601094
2026,0.45483622932085344
2027,0.45483622932085344
2028,0.4781028035815975
2029,0.4781028035815975
2030,0.49736859271411626
2031,0.49736859271411626
2032,0.5042803637364913
2033,0.5042803637364913
2034,0.5112052436120407
2035,0.5112052436120407
2036,0.5172367162479183
2037,0.5172367162479183
2038,0.5230696644113426
2039,0.5230696644113426
2040,0.5290789134330064
2041,0.5290789134330064
2042,0.53526979200635
2043,0.53526979200635
2044,0.5416477898845729
2045,0.5416477898845729
2046,0.5482185627486651
2047,0.5482185627486651
2048,0.5549879372225746
2049,0.5549879372225746
2050,0.5595468251553024
