time,AT,BE,BG,CZ,CH,DE,DK,EE,ES,FI,FR,UK,EL,HR,HU,IE,IT,LT,LV,NL,NO,PL,PT,RO,SE,SI,SK,LU
0,12.45193576008025,8.386628363276913,5.356456665565789,12.438204598963639,11.834117974716083,52.20752595840658,19.407479870306133,1.1895960415241895,9.774049830925717,6.235278382574458,59.40046475175532,29.473159622054432,2.333138257925549,4.097273442964872,21.985064766640438,3.8836620856331265,16.71883884885407,6.825505882958403,4.043277405707573,8.89244319804772,9.24779797837841,29.288597168674123,0.8178147364713644,52.71770031153314,10.98749498922798,1.5406544698340603,2.9796578959043445,
1,12.327783123036003,8.420697367619738,5.3869202370669775,12.302986786620135,11.86933778251148,52.5148104323854,19.02499172467899,1.1899181497599811,9.422971864368376,6.173313531894815,58.46334169143739,29.37478051952639,2.3335609277035823,4.078218755753543,21.75319715767482,3.8144930808601423,17.031361965760173,6.680457154045017,4.011471681069247,9.026164541419838,9.352799653000423,28.930793056201725,0.8097616406063382,53.01394477003384,10.792849357626666,1.5296622660981594,2.9255521001341473,
2,12.116898460299009,8.379055371226798,5.375365103979233,12.07966990175239,11.80892730672188,52.39163319164022,18.516596021022817,1.1804733464343942,9.016342685636864,6.066020773278994,57.10041108463776,29.052304445907808,2.3165575088763872,4.029514418979517,21.37373867697136,3.7195522691216363,17.208011348711636,6.486722597357956,3.947682800238532,9.070238293207272,9.379088490293322,28.36587390404153,0.7976360122820391,52.88936743534584,10.525732965384615,1.5073756029181304,2.8531798400359967,
3,11.986589733869932,8.376867268976305,5.395240592495828,11.935276650637224,11.814671980923055,52.554606201185216,18.13993628843762,1.1774860228128985,8.681256532977125,5.997259493839343,56.14609060636785,28.905551358445358,2.3138954575038664,4.006592818334093,21.141868023831037,3.650506063702637,17.464224686020398,6.334888883128146,3.9065086268769633,9.148624434913286,9.454462959579955,27.98655374285591,0.7923806641967222,53.06703148986781,10.332369454037003,1.4945802509969173,2.8021428086152502,
4,12.106053713973486,8.535472111311368,5.525189903959773,12.037888829135063,12.057612071314026,53.76911625261542,18.145584298576626,1.1979041925449148,8.532855412081073,6.051626162266027,56.51832956549331,29.348116557798456,2.3589520910378066,4.066659747843204,21.35601573130027,3.657969672197293,18.060566567744864,6.311920680621838,3.9432146385725204,9.396472865567675,9.718045680807736,28.185766730451153,0.8052588878026947,54.32005592938534,10.356125555565235,1.5124865178610774,2.811353675626863,
5,12.493610989648307,8.872050790870476,5.778129249764344,12.404723124524603,12.563267083450706,56.15712939648454,18.550690229130947,1.2440376987784656,8.574864344453381,6.237921896515766,58.10471158054546,30.433563595385316,2.45662417576156,4.217076071002254,22.0490326203353,3.7457462460185407,19.049042953457832,6.4221377381252065,4.06355730426907,9.837024806591632,10.194533490065355,29.001358314268,0.838709124064455,56.7737371837169,10.6079994260533,1.563551780719405,2.8840177190409024,
6,12.700241223997676,9.068758149186314,5.948220323925705,12.58943331874369,12.882638326711197,57.71510444405436,18.68447368364592,1.2713192297105655,8.494082111379202,6.331695082998923,58.81034332095714,31.071338421910728,2.5191700577068996,4.306771866093128,22.429186767871244,3.7784950951919725,19.754014290699498,6.43229998602078,4.1211850989717105,10.119350013661265,10.521279047441011,29.388731046805148,0.862993083739951,58.40439514755504,10.704881009617408,1.5916250300672916,2.9161726265576013,
7,12.65029359741721,9.068650866520828,5.996115938539715,12.518069161335367,12.932861819541104,58.065307791780484,18.444915052135727,1.2717952827543317,8.260554362478217,6.295678400305944,58.29773611411361,31.06917230148025,2.530446714528095,4.309048542475109,22.36245945353022,3.7352379790740557,20.036623176754187,6.309024601107945,4.091951826622291,10.1764345944597,10.62713309046652,29.177604837652975,0.8714319477231056,58.827531429348745,10.587204354150918,1.587094720901793,2.891349803553046,
8,12.317504411479732,8.85108102921101,5.904782082369884,12.166157336874726,12.680694109615677,57.0507051037343,17.804634089845234,1.2425033235218363,7.861304492591305,6.117604181049876,56.465688812754735,30.35525627376012,2.483838997555247,4.213719414605323,21.801034231752517,3.610070474471629,19.83216674315425,6.045783420531489,3.9683398644802512,9.98156432643747,10.480642126741648,28.313938582925786,0.8614008239616197,57.879307665546506,10.23795228700291,1.5465641515254067,2.8043984777024455,
9,11.805935638413834,8.490844491793467,5.720196884597669,11.638066602673268,12.228568980498117,55.125355724831714,16.923421668569148,1.193786398408722,7.371527068288009,5.850112998425759,53.812891570994545,29.180913604462045,2.3991976723643615,4.055309334413473,20.927052626797938,3.435127863574142,19.298807945455536,5.70003378624551,3.7852036248286667,9.616557143355546,10.162866151361031,27.04343888026746,0.8392417448720175,56.01429670007363,9.747901777559525,1.4830623608819724,2.6795426388034236,
10,11.323415906222616,8.139008916841108,5.5416210505770405,11.139558556390547,11.790745161994247,53.2525106109777,16.102784002256307,1.1467230204498675,6.921376851538392,5.596819331896285,51.29953424950299,28.059095466726102,2.318632368144526,3.904795265211188,20.10737772220614,3.27154513015736,18.76252504018064,5.37526721194154,3.610164359412044,9.252048933902524,9.850457649837447,25.845544907466632,0.819147270366201,54.207037611657846,9.290311749106921,1.4227319075901455,2.563968423122311,
11,10.855359363418499,7.787017449809681,5.362592465808838,10.656387923502024,11.353676729725091,51.37207625491996,15.320601467642165,1.1000066054328934,6.500363920388293,5.3506888733115066,48.86187258966235,26.955961193321404,2.2389216243282264,3.7573127860751927,19.315592197143108,3.1149027910889733,18.20268808153654,5.064443506851969,3.438945535990742,8.87930553958829,9.53260492329792,24.687069765484722,0.7999411949293842,52.39501009232799,8.852604487250316,1.3638038886556154,2.45407981771036,
12,10.373069710721314,7.4161795319498145,5.169349022979905,10.160582688816524,10.888691009164463,49.35488145574704,14.535573523767784,1.0508882311428833,6.092221088678489,5.097808721227255,46.37945979110653,25.80216616473779,2.154240125798563,3.603023018616277,18.499940946862356,2.9568682079585114,17.574893331287306,4.754461220087111,3.2629102173426348,8.477826851518612,9.1854896291446,23.50324721400528,0.7793262296793009,50.444690826383145,8.411032996112347,1.302734519728399,2.3431238228293876,
13,10.030130187955821,7.137788535520181,5.039243864933344,9.80254239231215,10.55862292629628,47.94033173104271,13.961153412025205,1.0150705697225273,5.789437202292989,4.913720797133454,44.53309943508549,24.981905628842213,2.0967119006378923,3.4954806469881174,17.934096104376305,2.8409393672180077,17.144536039277252,4.515148009817252,3.130558278269613,8.17578566590555,8.947121883218422,22.641663870414973,0.7688434137408932,49.11119049994118,8.089340477648223,1.2588639036884464,2.2655278251398174,
14,9.99134907393915,7.068541830842505,5.057688837433595,9.742214362458457,10.539579012075603,47.93306236598003,13.820865463369515,1.0092802604738387,5.673494324852309,4.878438402110696,44.03908791849123,24.908863525738205,2.101634518796064,3.4928453190761433,17.914898227594602,2.8126939252598193,17.20442257621206,4.416215248599683,3.0922461416934777,8.108327873612867,8.969180216778762,22.469888144373805,0.78187452760174,49.22394882164323,8.017732127148582,1.2528729050633478,2.2583329317175034,
15,10.471052911187442,7.355911145463472,5.337453338988772,10.186173730689694,11.060245715670554,50.382190746625405,14.401665880281787,1.054993472075943,5.855754961330125,5.094873914988032,45.80776007931127,26.120474985320186,2.2155566140572,3.671263847474768,18.832222638544444,2.930547629140306,18.138013776385076,4.543510922892909,3.211515042140609,8.446095512885002,9.4505625340532,23.46085028784681,0.83683098346633,51.87333918928945,8.363746417702787,1.311522887647751,2.370138117970656,
16,11.364768383022144,7.918947603164329,5.830090302461984,11.029593216833996,12.011543230311274,54.80207322730374,15.549480345560903,1.141254996111163,6.266408328416543,5.50975598744479,49.335299851778636,28.357795464144253,2.423361591422106,3.995510988093281,20.506544329622493,3.163007137623395,19.77669464848278,4.8403547902458355,3.4522596597669075,9.096933220802521,10.303172908348197,25.368797336226265,0.9277817152839912,56.57836077431437,9.039014555847414,1.4214971178192315,2.5779353891232555,
