time,LT,AT,UK,CZ,RO,IT,EL,BG,CH,PT,SK,BE,IE,PL,FI,SE,EE,ES,NO,HR,HU,DE,SI,FR,NL,DK,LV
0,0.1161790790278435,0.1107591972206805,0.6490224024951159,0.1281825327958431,0.1901842353202245,0.4040432394078506,0.2151553928151663,0.1771181867669393,0.0580055532485058,0.0739340380141542,0.1142505886490613,0.0993415659772511,0.6208193925062889,0.1106897331301866,0.2691696837695089,0.1532713733802063,0.184605183705412,0.2172637610647091,0.6206852612344735,0.3561179002129389,0.1081387290050508,0.0218827105437651,0.2197660247224204,0.2833385860441408,0.0139181159804711,0.0300041748442397,0.1617570201144543
1,0.1081667717078929,0.1126006190688593,0.6389139595913965,0.1262346091861261,0.1930428031193967,0.4075303777844336,0.225295694535473,0.1720344030620523,0.0561490905320464,0.0793182839320192,0.1153188387624729,0.0901514454939318,0.5687366231653395,0.1035128019977494,0.2610173829351875,0.1504440654899998,0.1739421983210637,0.2185084202079021,0.6090432554669055,0.3621347996566574,0.110546887365473,0.0206194116715024,0.2261278438897646,0.2794728662595495,0.0104283649951658,0.0363467309685027,0.1417152641740937
2,0.1120208215218058,0.1162222480658545,0.630902001967404,0.1316644974243195,0.1956878298326926,0.416136971370468,0.2379054427634166,0.1681121496034625,0.0526815794526421,0.0851360715918519,0.1178362963302012,0.0895141441311854,0.4840577892683557,0.0966288567681224,0.2552677143152186,0.1540560323949737,0.16737386354497,0.223561880769575,0.58789810350268,0.36680099918971,0.1126587526558586,0.0193650793575675,0.225333549085775,0.2786336702647076,0.0092907440284531,0.0455934186222068,0.1295405351228584
3,0.1114513460870409,0.1196062908735506,0.6118704222127407,0.1358129035568852,0.1948406409502119,0.4261644648597738,0.2520206692377515,0.1632264439435509,0.052541067587259,0.0905375248760158,0.1184767628450118,0.0918242190742727,0.3670310703609585,0.0908684801874327,0.2489102519689666,0.1627809953400648,0.1555428535561779,0.2302505358684186,0.5682109351404063,0.3705283389938226,0.1113419725878256,0.019363870777085,0.2208974024816162,0.2815874561679187,0.0108231948645034,0.0559092244310353,0.1206401914063153
4,0.1086075146591802,0.1238971846479273,0.5833891101015016,0.1501354965731658,0.1920851192469846,0.4391954348263239,0.2677846933959892,0.1564951115306748,0.0532005518265536,0.0950742310635523,0.1230829215599361,0.0967822913232869,0.2676212626052939,0.0856681817121529,0.2420856496284157,0.1744004181443194,0.1377058278248882,0.2391658350337341,0.5503703675051839,0.3780279249523802,0.1103268726464326,0.0193342304787747,0.2257786592870646,0.2857712555347079,0.0172993624901691,0.0676887124988276,0.1125636746384557
5,0.0998999281445075,0.1218316213339028,0.5521607768349315,0.1414106418113901,0.1867484129063846,0.4495411256463668,0.2817452914751525,0.1475598711050761,0.054383592484629,0.0996101149482454,0.1210065827254114,0.1041273697336492,0.2018242832944515,0.0790102509952263,0.2420457984231535,0.1856286177590093,0.1150557264072638,0.2477552763678588,0.5398158692083544,0.3807925103610721,0.1056292299304451,0.0206038670827837,0.2197540740386278,0.2876004210264293,0.0252156922540692,0.0845408665950737,0.0950869935100239
6,0.0866235736223499,0.1273417165098854,0.5364475374048485,0.1388654312991035,0.1800091663358713,0.4532336459405807,0.2942709440940392,0.1359809013509972,0.0563613959945807,0.1058348194525274,0.1247028322015728,0.1103758841029049,0.2187023640640795,0.0706987019954283,0.2449875745048003,0.1983781143716389,0.0819107297290282,0.2516990034401121,0.5418385966565935,0.3814981531773051,0.103436445677417,0.0223252612726967,0.2197775647593976,0.2854727467738807,0.0328777091713356,0.1027570787506786,0.0691561708711319
7,0.0711065187746473,0.1335837559374307,0.5246149225572977,0.1303265681011058,0.1707721115899994,0.4588866864179672,0.2993183903509625,0.1224260402983923,0.0527379506154888,0.1128287906154014,0.1294757568327437,0.1177759429116819,0.2776886579279292,0.0600712639137886,0.2553310995907314,0.215690614389655,0.0605776103851482,0.2519188681290895,0.5613334821078761,0.3719501583280452,0.0979346423591973,0.0245501407489575,0.2217068301548675,0.2790956579479109,0.0404442470483831,0.1228473664148397,0.0425051988246414
8,0.048294424597722,0.1455709816294617,0.5189905859349287,0.1447648074596109,0.1625573528061429,0.4505046835743456,0.2968662291863569,0.1094416696286227,0.0527517775458215,0.1151702171990344,0.1344066365942816,0.117075873697613,0.3367987782456359,0.0434063485577705,0.2738521630535122,0.2325165774088705,0.0498403327979214,0.2459676342955317,0.5941437013424354,0.3591558323040228,0.0926818751795441,0.0247018318050707,0.2159168985678094,0.267223742404939,0.0460020841886079,0.147123833953333,0.0233595114051041
9,0.0238621874952277,0.1396646551507665,0.51465960326384,0.1309057001015728,0.1606473194886871,0.4402248587180079,0.28997467128858,0.1014080917716468,0.0514916529520564,0.0920218781737557,0.1402178340357926,0.0988232748303274,0.3769148835533997,0.0314838296595636,0.2960628045716931,0.2366471800293918,0.0489185933425038,0.2303896501866689,0.6288738373780933,0.3460320013468384,0.0916657301685225,0.0256494561763016,0.2089109743219459,0.2478463527087034,0.0445387097044124,0.1666787246136916,0.0152477514911514
