node,capacity_limit
AT,11.048560504000001
BE,8.129689387
BG,52.977250446
CZ,76.204607193
DE,106.972524831
DK,54.67
EE,27.28
EL,168.414705349
ES,703.733190854
FI,30.765635296
FR,812.822052623
HR,24.308507335999998
HU,53.077312446
IE,146.5
IT,178.289036945
LT,128.31
LU,0.693806723
LV,79.455
NL,48.865
PL,101.548392543
PT,39.189119991
RO,168.873065435
SE,133.864850081
SI,2.424529325
SK,29.292460288999997
UK,230.005
CH,42.75919580817223
NO,1104.5267511637062
