year,price_import
2022,0.9565663308150474
2023,0.9565663308150474
2024,0.8351936528883259
2025,0.8351936528883259
2026,0.8091268682879715
2027,0.8091268682879715
2028,0.8084212103891895
2029,0.8084212103891895
2030,0.8033884682205048
2031,0.8033884682205048
2032,0.8033584078818546
2033,0.8033584078818546
2034,0.803356293136273
2035,0.803356293136273
2036,0.8033601031173634
2037,0.8033601031173634
2038,0.8033594914266302
2039,0.8033594914266302
2040,0.8033592040266719
2041,0.8033592040266719
2042,0.8033593358589664
2043,0.8033593358589664
2044,0.8033593384962296
2045,0.8033593384962296
2046,0.8033593232621383
2047,0.8033593232621383
2048,0.8033593263544627
2049,0.8033593263544627
2050,0.8033593278627031
