time,AT,BE,BG,CZ,CH,DE,DK,EE,ES,FI,FR,UK,EL,HR,HU,IE,IT,LT,LV,NL,NO,PL,PT,RO,SE,SI,SK,LU
0,0.7937189873086539,0.891651547271045,0.42189960259019427,0.8756088605044822,0.8839668683483746,0.927317475619339,0.9606919163984735,0.5504525153640529,0.7942621768160144,0.5401275472911463,0.9344177084885268,0.8525310848265037,0.3737026742133237,0.5579845967288074,0.7350745037556149,0.8723433232061002,0.5363497659577793,0.6853037277210904,0.6376885262294354,0.8433701165268684,0.8135164009450698,0.8702456089219982,0.7763084782668599,0.6361566835732032,0.9697108766477464,0.6146546129324957,0.8008511913907933,
1,0.7979727469747849,0.8971456686021098,0.4332116384060264,0.8781733107635216,0.878844020821373,0.9283939480755028,0.9560718835490033,0.5512483516564426,0.7592825615897426,0.5368444144186059,0.9255810250793335,0.860006904828708,0.37505171865858267,0.5702356995925381,0.7376889746827375,0.8755863710642593,0.5433060826516688,0.6970109571188565,0.6432798877858512,0.8462427579528706,0.8104672739848341,0.8734963424111092,0.7591608688507031,0.6424913284150282,0.9632993282729909,0.6205874039737707,0.8029567021132454,
2,0.795683543784238,0.8951510745686738,0.44039650016587945,0.8734991476682291,0.8671330924438261,0.9219624572291246,0.9439382775490656,0.5476028250164581,0.7201454998682334,0.5295414728715743,0.9098445256630731,0.8602050121955567,0.37334199762959247,0.577355502446983,0.734258818002875,0.8716614106401304,0.5463346348490375,0.7023806884783942,0.6433504741081192,0.8422329724365354,0.8010034193033695,0.8694339863616145,0.7365690080569596,0.6433322562759218,0.9494464767352919,0.6212593841490592,0.798510244739916,
3,0.7977376626144054,0.8979109066131826,0.44939983006069695,0.8735635900969979,0.8607826052838021,0.920676203351907,0.9373027922655073,0.5470305007871914,0.687067276981748,0.5255183224084502,0.899784987745509,0.864871134229223,0.3736868488972376,0.587019099916544,0.7348453754086416,0.8725085326175729,0.5525417174049202,0.7109588430670056,0.6466893850565888,0.8428780572995287,0.796157075094808,0.8699774724503566,0.7188242441046203,0.6474583705398981,0.9412549532858533,0.6251484883741745,0.7984606224728175,
4,0.8157383570557653,0.9184994396165019,0.4670042695694748,0.891007286555387,0.8720417074803297,0.9378130613452069,0.9495181410137439,0.5574279059035269,0.6689554738308569,0.5322500332283479,0.9081034770188494,0.8866626950261212,0.3813914997033847,0.6080234421656731,0.7500978707043807,0.8907742015219997,0.5695291027652744,0.7333021267365953,0.6627586837491637,0.8603882903020303,0.8072937894012338,0.8877324881890538,0.715778757501578,0.6643659903542036,0.9520855987444524,0.6414203244658006,0.8143573592063639,
5,0.8515075228638554,0.9589821604009042,0.4946842038262112,0.9276831449357323,0.9023828806326872,0.9752507912161149,0.9821761890955927,0.5799266308444049,0.6653459567171988,0.5506283686514863,0.9361269618384478,0.9276906721577736,0.3973923039753201,0.6421782595320557,0.7816123492548969,0.9283608073488497,0.5988371892511754,0.7714110559410281,0.6931219100573703,0.8965934334625979,0.835810583247511,0.924565787602259,0.7278992998243701,0.6956716431704293,0.9834513496347329,0.6716337758802525,0.847892919814237,
6,0.8746508879439141,0.9851251904452345,0.5149396083157889,0.9504139815736438,0.919419045657841,0.998086260680738,1.0,0.5937812958227469,0.6517398172822945,0.5608892349940261,0.9501677848092595,0.9548863951364689,0.4072253226486043,0.6667289883811712,0.8014544053550394,0.9520908604991125,0.6194967496602586,0.7978760991215453,0.7130616152660032,0.9194499595674186,0.8517034975680607,0.9474145446603228,0.7287459843346215,0.71658998136326,1.0,0.6918620009127242,0.8687473190370636,
7,0.879465600471241,0.9904948258745235,0.5240477302865499,0.9531278350929691,0.9175531754774015,1.0,0.9969284852160374,0.5952211929729084,0.6255748285140028,0.559626990185883,0.9446308519700032,0.9619162749893965,0.40875290337783393,0.6769517987334723,0.8044701918761176,0.9558308120805029,0.6269170072959095,0.807197657196198,0.717866329446227,0.9230381957498636,0.8497701950793081,0.9502132483631698,0.7145572562127241,0.7223405259457362,0.9957414257737558,0.6974894442136126,0.8713684667455285,
8,0.8636034384390628,0.9724511313977718,0.5202088748064244,0.9334464893715236,0.8947750572005513,0.9785539995307534,0.9708553767630406,0.5827768003655205,0.5871573677828104,0.5456251087570823,0.9176860152660903,0.9461006845765247,0.400403324738558,0.6706241294527675,0.7886039151420983,0.937125157395418,0.6191721368729355,0.796911915597003,0.7055684458360769,0.9049865749016126,0.8281699178655133,0.9305880721988768,0.6846080411188125,0.710881851038302,0.9686478069754,0.6865390259867762,0.8535713118252662,
9,0.833968186273335,0.9387883841544681,0.5072648746198505,0.8989946065174109,0.8585889751297757,0.9417808701569507,0.9300350112239205,0.5612112637267805,0.5426879513790975,0.523467175561499,0.877251828115488,0.9149218486677692,0.3854627082074094,0.652776887276673,0.7602466936219396,0.9035573330995884,0.6010165174180336,0.7731636289275455,0.6817861875518221,0.8726137424312156,0.7939063775376893,0.8961495380263343,0.6454075089064704,0.6878138831163372,0.9270127881341592,0.6644082488085498,0.8223104315881805,
10,0.8051477333717935,0.9059508314588647,0.49399230345847134,0.86557899110116,0.8241231141093582,0.9062451945407634,0.8909410595384513,0.5403835562024886,0.5022205289202605,0.5023793968068337,0.8388865030027375,0.8843664439462635,0.37096793009618295,0.6347272123763253,0.7327380098664834,0.8709758571384854,0.583010781556773,0.7494280427765893,0.658458052390746,0.8412190452183085,0.7610286934748268,0.8626694878998722,0.6086662768260147,0.6651495781455974,0.8872718392595909,0.6426917940383576,0.7920294760914918,
11,0.7762325737616236,0.8729292360271612,0.4799076956566444,0.8322211251925654,0.7903658087669451,0.8709048761215086,0.8525149661271793,0.5196712735831636,0.4651903516900671,0.48174436772878104,0.8015465891584,0.8534634956064349,0.3563879187728066,0.6158361773107721,0.7052470390936838,0.8383925515661843,0.5644699141646522,0.7249358798490485,0.6348687978984308,0.8098430245665968,0.7286390920422104,0.8291851979291336,0.573576959710599,0.6421656600744924,0.8483539778115078,0.6206859976981417,0.7618261077206411,
12,0.7452725864542462,0.8375465768720333,0.46385974194213503,0.7968401105943642,0.7552738866289772,0.833567559785062,0.8125952871458415,0.49776333055812666,0.43026599955692146,0.4603161384174042,0.7631604599874958,0.8200916238622263,0.3407628293164302,0.5946127724917473,0.676004457618638,0.8037033433305886,0.5439688451348599,0.6979283196279222,0.6094503276411385,0.776448098886963,0.6948944877770803,0.7936363523882246,0.5386453230826931,0.6172713533835343,0.8080952479545899,0.5968477292239127,0.7297872874323311,
13,0.723430103806225,0.8123566991812385,0.45287559796540305,0.7713587851089412,0.7300725200893242,0.8066891774348215,0.7832780536651688,0.48209851222554395,0.4032347137511189,0.4449350716923326,0.7350437221254599,0.7965610954616785,0.3292134920139879,0.5800462666156188,0.655126709248698,0.7789359344218928,0.5297125224933951,0.678934175088157,0.5913544013456604,0.7526504838618896,0.6701465079362124,0.7679069114090934,0.51177435799718,0.5997393896206329,0.7785075020079281,0.580139911377835,0.7068284086352081,
14,0.722820802461954,0.8109388223606138,0.4547241164255832,0.7685819310471692,0.7267760481760296,0.8036382313999191,0.7773566700498001,0.48068636108165813,0.3905115088795661,0.4429217510023891,0.7291421373678783,0.7962563436939485,0.32719045697688715,0.5820510965315118,0.6535270444314488,0.7770682634183681,0.5307108488897988,0.6794490096431207,0.5904899069506893,0.7509939199346874,0.6653618895859791,0.7647333791930049,0.5008726941234263,0.5996609261756112,0.7722727440119138,0.5803339445348676,0.7046989396301099,
15,0.7592084953412117,0.850898582422115,0.47957356273361285,0.8050397746382636,0.7609305155824332,0.8416793735143415,0.8112035849415904,0.5039002162242087,0.3988873064387506,0.4637513246332622,0.7607695635256709,0.836586350997349,0.3416421797126625,0.6136046909177459,0.685343997451674,0.8149128472491817,0.5587091582088413,0.7144202959282068,0.6196997293855581,0.7877414881158483,0.6945847950802693,0.8005207981994933,0.5157117646957712,0.6301647107920431,0.8056160988963904,0.6101643033990287,0.7385995544208801,
16,0.825196497488205,0.9238182845390794,0.5229817906221991,0.8725869241034049,0.8248242199794306,0.9122904823030151,0.8762191209833468,0.5467055238758919,0.423124900290029,0.5027295531434504,0.8218669149025295,0.9094219235887893,0.3689486590857199,0.6690049622027796,0.743756140725219,0.8843550157611373,0.6083992241797064,0.7769607616332378,0.6728668178411072,0.8550728936898814,0.7504806144364312,0.8670992033197714,0.5499213725723384,0.6851437542886529,0.8699665992689953,0.6637622100606616,0.8011244409626403,
17,0.8388808815683564,0.9379855380367017,0.5330131349838787,0.8845984588058111,0.8366096865721321,0.924910561950804,0.8854175769805237,0.5548417346705968,0.42080118713472003,0.5099749941886726,0.8308708121336321,0.9244866535943275,0.3724522184521492,0.6818322912662464,0.7549369460431267,0.8976058745607597,0.6193812744223105,0.789921872878925,0.6831904030624132,0.8681079563248296,0.7585413891820335,0.8783795097870721,0.5489106608199785,0.6965845214167308,0.8789668048114315,0.6752421401546806,0.8127506106251909,
18,0.797206198957936,0.8902018100081769,0.5074629176607475,0.8383238747716648,0.7936013512340131,0.8766502726730978,0.8365951669661189,0.5264682851769327,0.3921826431555506,0.48384081437397913,0.7856426095717303,0.8784162064428898,0.35129487339439003,0.6492729291515712,0.7163584076455133,0.8516644353850608,0.5892304787052051,0.7504124588546602,0.648343517001776,0.8239003955742888,0.7168420800612968,0.8317573391066337,0.5126292231324416,0.6619355031061656,0.8304551887739612,0.6420550887617746,0.7708360473238802,
19,0.7684785403321072,0.8568954560059261,0.48973632666418443,0.8058795705960508,0.7639326325003516,0.8428986347890209,0.802002871228706,0.5067874229887264,0.3716980124532341,0.46585562431033434,0.7539350684724909,0.8465073685750821,0.335921869182228,0.6268365558534374,0.6895304100888011,0.81966756356925,0.5683859503383695,0.72280295177443,0.6240043764107353,0.7931725544788144,0.6872792775798393,0.7988740924623254,0.48604945857821236,0.6379326677835037,0.7961490317013034,0.6191809466393781,0.7416133360715019,
20,0.7817069911111578,0.870313507688588,0.49840785684026095,0.8174906635332542,0.7763061351772819,0.8552757949413792,0.811500003454887,0.5148612923874988,0.3726992568693796,0.47353102866772273,0.7638620273153496,0.8607068395669457,0.33879387969216984,0.6383092162828614,0.7003915315308308,0.8324405637353706,0.5783658794199752,0.734368125742934,0.6336574976637983,0.8057706862005951,0.6954514891712535,0.809637689407351,0.48674793665711774,0.6486583731125998,0.8056837633538626,0.6300272815623896,0.7529471136823338,
21,0.7972423774154698,0.886168015015729,0.5082374927385297,0.8314458607480049,0.791244546943932,0.8701634778149819,0.823444291608106,0.5245032752225129,0.37564930718768363,0.4828020450850827,0.7763270976535017,0.8773233953862001,0.34241401634935104,0.6514067052216296,0.7133066171454543,0.8476123750588016,0.5898690575575195,0.7477802386137316,0.6450507300269833,0.82070557317143,0.7056753873074014,0.8226587332808223,0.4891781090544735,0.6611901242023701,0.81772423796036,0.64266401259594,0.7664890389310012,
22,0.7966331307421864,0.8839696034765285,0.5074653162144868,0.8285378911090368,0.7904366233620848,0.8674528286123449,0.8188389919492389,0.5235847315946563,0.3719178678261806,0.4824951710483462,0.7734003918425528,0.8760611753454685,0.3389053803660483,0.6510529520327796,0.7117829068774156,0.8455840007446488,0.5892490754375793,0.7457563291988613,0.6432767802445987,0.8189950525204935,0.7016698293854072,0.8189470034365655,0.48213130691086936,0.6602332962204189,0.8134024200248249,0.6422177560873933,0.7645213028215679,
23,0.8182750547643387,0.9063413756570757,0.5205539560258711,0.8487319968237903,0.8119786621618037,0.8889792003184328,0.837202823646651,0.5373505059545169,0.37948195920137906,0.4958649635267946,0.7923888859009294,0.8991529516503294,0.3446452780396212,0.6686295635288735,0.7301409202154298,0.8671262862050866,0.6049130308920797,0.7642631350021911,0.659360291869098,0.8401229798399874,0.7172974960319571,0.8380179722617968,0.48894276090857025,0.6776175209341069,0.8319714184042227,0.6596430757068409,0.7839112560867151,
24,0.8323674532345594,0.9202001468854344,0.5285143006388994,0.8610169040818344,0.8262976007402665,0.9022750188982306,0.8478723137619416,0.5462128199896668,0.3844109154692164,0.5048638006788498,0.804343351682998,0.9138223318298597,0.34692815020827217,0.6797863429912313,0.7417474696828041,0.8805931495231373,0.6148206558502516,0.7753939848177994,0.6692298583046856,0.8534387836926585,0.7262797651972671,0.8492141345317548,0.4915337681008614,0.6886425442069826,0.8429738742750236,0.6709176642469153,0.7960491738313887,
