time,AT,BE,BG,CZ,CH,DE,DK,EE,ES,FI,FR,UK,EL,HR,HU,IE,IT,LT,LV,NL,NO,PL,PT,RO,SE,SI,SK,LU
0,0.4402751918272588,0.47400907146228116,0.5167984256551722,0.4290406228928294,0.6533425685074427,0.42863259332303616,0.6115728306805216,0.8425853066916779,0.7068707337359711,0.8423920627839987,0.5545169873480038,0.5696270903962142,0.23005239692296167,0.4820363759277472,0.48657613422914575,0.4721096977513987,0.6040441690101958,0.7652488155209728,0.7858519440011181,0.40425172568058787,0.6687964396387113,0.5983491035170068,0.7338763414446177,0.6276445041928966,0.681071403977182,0.46202920430871,0.4429606096343794,
1,0.4460385493711541,0.4765788182104998,0.5194766057424359,0.43190924818469195,0.6598661024544872,0.4325928741518049,0.617838467286755,0.8459166297294715,0.709369078901928,0.8469142726648902,0.558309032798509,0.5677849185693299,0.2314155305129227,0.48215994429049036,0.4912567535300503,0.4756037250510781,0.6029335716827577,0.7676006994006294,0.7896927989962951,0.4060513779453845,0.6697539586353259,0.5963691090400491,0.7347415963510913,0.6293241203181245,0.6846644306587772,0.46258717197498317,0.4469963756579382,
2,0.44805142924755975,0.4753005227940688,0.5178570700469922,0.43127888306968354,0.6607552333517356,0.4329693749748314,0.6187447730944349,0.8422630534308921,0.7062183785650885,0.8443972683239582,0.5574185817191621,0.5615199162949351,0.23104939606591127,0.4785082292788554,0.4917873577852651,0.4751587434809724,0.5972797863770722,0.7636961890422828,0.7870369699737493,0.40471047428844914,0.6653300118537782,0.5897273377434752,0.7298093238800432,0.6259006073658248,0.6825458304043797,0.4595685544308301,0.4472849187758981,
3,0.4524105071257599,0.4766748837012741,0.5190285031802586,0.43304236310795213,0.6650255309029189,0.43566986451272727,0.6227367284665911,0.8431642045029779,0.7070850002007876,0.8463982156257643,0.5594678094580019,0.5585614365141042,0.2325306540825417,0.47765008212831805,0.4948795129175029,0.4772678474766184,0.5952562210800741,0.7640033249816637,0.7886583112431917,0.4057630288439953,0.6646528496637054,0.5865426591148372,0.7290845105665484,0.625955424333505,0.6840593989833492,0.4592752999591977,0.44993158938200956,
4,0.4657961955064322,0.48763952687780604,0.530536703684851,0.4435180219467959,0.6824312674451479,0.4470812850647294,0.6389502273572738,0.8608466370362483,0.7222185855218893,0.8652245504727148,0.572615000142474,0.5668976636799384,0.23865514865010543,0.48646855533167105,0.5077900100471173,0.48890183891256095,0.605425129623332,0.7795847209593417,0.8060166214783032,0.41510921996791633,0.6773158736295463,0.5952013154021789,0.7430838289404113,0.6385463810265052,0.6991494318606111,0.4683412944981952,0.4615284408238072,
5,0.4894390139579616,0.5092986285467328,0.5535542619312099,0.4637406389516208,0.714634859120101,0.46829791095790135,0.6689352425379724,0.8971513167440015,0.753183423830029,0.9027900884242942,0.598168278906439,0.5875457242469552,0.2499116300560143,0.5059392645472837,0.5317561999717499,0.5112052584589847,0.6291468024717394,0.8120840812999941,0.8408859926412922,0.4336939584995734,0.7046947020992814,0.6167650080206032,0.7733195221794497,0.665010555299994,0.729354550642924,0.4877426447759448,0.48319223320148785,
6,0.5059498226510324,0.5234840862255732,0.5683150660213566,0.47718021645923164,0.7361762024666965,0.4826461712398533,0.6888523865792806,0.9200152664736262,0.7730802654740225,0.9268560977732844,0.6147834416586605,0.5994365030709748,0.2573958188485568,0.5179654967832006,0.5478375247164193,0.5259533780804225,0.643657600756423,0.8324737004386097,0.8632388175988083,0.4460572362371654,0.7215807137530096,0.6291130210151618,0.7921311325831274,0.6815752185740604,0.7486248012349968,0.5000530591255666,0.4977102902414754,
7,0.5118663028293868,0.5267682862718416,0.5711279097650189,0.4806853536965531,0.7421409938502205,0.48689791585823766,0.6941140630059734,0.9235157558510587,0.7768983822499728,0.9314005882674524,0.6184313120509647,0.5988770012951379,0.25939226534404297,0.5192655135816933,0.5523776426086097,0.5296743889452084,0.6449014986286529,0.8354135481689693,0.8674723147196985,0.44926897752325806,0.7233877142019582,0.6283758481289614,0.7944656943303364,0.6838765243604572,0.7521045788656574,0.5020695200002502,0.5017662914057158,
8,0.5056197154504476,0.5177177074082916,0.5604903912048965,0.4729145309618528,0.73042731438279,0.47965074249048056,0.6827781408199527,0.905291291801166,0.7625845509474642,0.9139758949075303,0.6074463772287657,0.5845175488371708,0.2551749606322517,0.5085525798106895,0.5438059641235923,0.5209022770072117,0.6312998416661879,0.8187812708145301,0.8513056252137139,0.4420765842083401,0.7083241736477277,0.6131476377053598,0.7783239893246969,0.670183977320564,0.7378306967355803,0.49249684972532887,0.4939371944187537,
9,0.4910689715555544,0.5004382375213848,0.5409081748709117,0.4575879472664849,0.7067843002360936,0.464644587763072,0.66024990554407,0.8726832570543379,0.7362393139531292,0.8819359742207682,0.5866821406392109,0.5612417761246966,0.24676516710960283,0.4899661302205492,0.5263909508683047,0.5037551791548311,0.608001217512479,0.7892203963531915,0.8215796843416483,0.427942158042128,0.6821734525610658,0.5885628366498474,0.750023311163985,0.6459386972299408,0.7117546203517421,0.47529015219687937,0.47810047069202716,
10,0.47672470364893044,0.4836619950819353,0.5218583419579129,0.4426766679985945,0.6835533293884807,0.4499649499689326,0.6380809625098228,0.8410113247300011,0.7107279944155271,0.8507395186982942,0.5664095739095982,0.53894560488351,0.23848245820869113,0.47209473079151093,0.5093138128551803,0.48702617834348794,0.5856595656364413,0.7605792316880953,0.7926845669215139,0.4142985720551018,0.656915600781591,0.5650062098085842,0.7227084596558858,0.6224738063668377,0.68636113259582,0.4587507782867072,0.4625925705389932,
11,0.4620647615020228,0.46683700550222307,0.502755015095203,0.42767779871376715,0.659990300048534,0.4351107813231601,0.6155853386716534,0.8093277675730862,0.6852283865266631,0.8194347797639692,0.5460007875362052,0.5169875357879281,0.23007285009067566,0.4543828877051841,0.4920155824170759,0.47017114056899856,0.5635744027832216,0.731991437767198,0.7637262488712118,0.4006588844882344,0.6317923907274205,0.5418066565103489,0.6955339489171595,0.599077259551764,0.660884324036225,0.4423357547815702,0.4469025364158844,
12,0.4459322229629083,0.44878240644116196,0.482340166606383,0.4115098802506838,0.6344593139737584,0.4189895592710287,0.5912476979150835,0.7756083859569455,0.6580008562420036,0.7859754252661322,0.524095713895949,0.49404952397980945,0.22097212701958938,0.43567112479517506,0.47327095569507216,0.45201143061718313,0.5402976524919825,0.7016169885422775,0.7327895687010645,0.38599247359369676,0.6052082620987321,0.5175850458459741,0.6667310339841671,0.5742401872943089,0.6336766638522723,0.4249095903048172,0.42991421471807145,
13,0.4350314825353219,0.43621779359403984,0.46783915434206164,0.40033831833631334,0.6164909759101326,0.4078889245959906,0.5739541377303865,0.751464415610531,0.6388852004280676,0.7621373046745772,0.5085534467372381,0.477491276153941,0.2145031896060504,0.42246243963943453,0.46018655471035574,0.4393249679034353,0.5238843998194276,0.6799520375672807,0.7108485464741043,0.37607089994472837,0.5862068250719461,0.5000519413550021,0.6462563365411774,0.5565506458832579,0.6142326793237909,0.4128160116208676,0.41808061462759466,
14,0.4367737888290948,0.4364766876455466,0.4670700606462149,0.40091341601656877,0.6164604863813836,0.4087073399337753,0.5733402323186387,0.7494073629819425,0.6385779105439698,0.7606473546346543,0.5078886949547787,0.47517916109459596,0.21426843940404836,0.4217952646598661,0.460521385370349,0.4395030717337144,0.523053808328354,0.6783212380967705,0.7097843923013047,0.3772549500634898,0.5845285089033071,0.4974362917994999,0.6448649218878297,0.5552784923580942,0.6127986904209216,0.4129728823117393,0.41845155809449713,
15,0.4609181722721826,0.45914642446916576,0.4901796108736676,0.42207827957760014,0.6478691441293322,0.43048737472787424,0.6019011381513071,0.7856263960685422,0.6710244598730932,0.798003515698359,0.5331543067303531,0.49726493778055697,0.22493857826401673,0.4428334882514414,0.4844013542756239,0.4621928724559981,0.5491649896700398,0.711402829111642,0.7450268414499335,0.39793419645169037,0.6127901517488116,0.5203442911517979,0.6765185375872041,0.5824464125561721,0.6426409766181264,0.43444035882298715,0.4402345629725003,
16,0.5032636189156623,0.4998527009502105,0.5323379802470067,0.459856902743622,0.7044441404900559,0.4691992455977015,0.6537190425906887,0.8522628318585531,0.7297276229746383,0.8663009616752579,0.5791112637300918,0.5386715070892505,0.24430352760615925,0.4812502969942677,0.527198523621474,0.5029692375619638,0.5968534090184608,0.7721269585271145,0.8092521796873542,0.4344715611512548,0.6648709779028733,0.5634337101062726,0.7345150718833449,0.6322805081240721,0.6973590886006445,0.47309331679627886,0.479236078525858,
