time,AT,BE,BG,CZ,CH,DE,DK,EE,ES,FI,FR,UK,EL,HR,HU,IE,IT,LT,LV,NL,NO,PL,PT,RO,SE,SI,SK
0,0.36900369003690037,0.3448275862068966,0.3472222222222222,0.3448275862068966,0.4166666666666667,0.3460207612456747,0.3676470588235294,0.684931506849315,0.30959752321981426,0.6944444444444444,0.35335689045936397,0.3448275862068966,0.2724795640326976,0.3236245954692557,0.3401360544217687,0.3460207612456747,0.3546099290780142,0.6711409395973155,0.6711409395973155,0.32679738562091504,0.4504504504504504,0.48309178743961356,0.27548209366391185,0.37453183520599254,0.4347826086956522,0.341296928327645,0.35714285714285715
1,0.37593984962406013,0.35211267605633806,0.3508771929824561,0.3472222222222222,0.4310344827586207,0.3484320557491289,0.37037037037037035,0.6896551724137931,0.3105590062111801,0.6993006993006994,0.3546099290780142,0.3460207612456747,0.27548209366391185,0.3236245954692557,0.3436426116838488,0.3436426116838488,0.35587188612099646,0.6666666666666666,0.6711409395973155,0.33112582781456956,0.45248868778280543,0.4807692307692307,0.27624309392265195,0.37735849056603776,0.4347826086956522,0.3424657534246575,0.35714285714285715
2,0.38167938931297707,0.35714285714285715,0.35587188612099646,0.3496503496503497,0.4329004329004329,0.35335689045936397,0.37453183520599254,0.6896551724137931,0.30959752321981426,0.6993006993006994,0.35587188612099646,0.3484320557491289,0.2777777777777778,0.3225806451612903,0.3460207612456747,0.341296928327645,0.3546099290780142,0.6666666666666666,0.6756756756756757,0.33557046979865773,0.45248868778280543,0.47619047619047616,0.2777777777777778,0.3802281368821293,0.4366812227074236,0.3460207612456747,0.35714285714285715
3,0.38759689922480617,0.3623188405797102,0.35842293906810035,0.35335689045936397,0.4310344827586207,0.35842293906810035,0.3787878787878788,0.6944444444444444,0.30959752321981426,0.7042253521126761,0.35842293906810035,0.3496503496503497,0.27932960893854747,0.3225806451612903,0.3472222222222222,0.3389830508474576,0.35714285714285715,0.6666666666666666,0.6756756756756757,0.33783783783783783,0.45454545454545453,0.4716981132075471,0.2785515320334262,0.3831417624521073,0.4366812227074236,0.3508771929824561,0.35842293906810035
4,0.3952569169960475,0.3663003663003663,0.35587188612099646,0.35587188612099646,0.4291845493562232,0.36363636363636365,0.38167938931297707,0.6944444444444444,0.3105590062111801,0.7042253521126761,0.35842293906810035,0.3508771929824561,0.27322404371584696,0.3225806451612903,0.3484320557491289,0.33670033670033667,0.35587188612099646,0.6622516556291391,0.6756756756756757,0.341296928327645,0.4587155963302752,0.4694835680751174,0.2785515320334262,0.3831417624521073,0.4385964912280702,0.3597122302158274,0.3597122302158274
5,0.4016064257028112,0.36900369003690037,0.3424657534246575,0.35842293906810035,0.425531914893617,0.36900369003690037,0.3846153846153846,0.6944444444444444,0.31446540880503143,0.7092198581560284,0.35842293906810035,0.3508771929824561,0.2610966057441253,0.3236245954692557,0.3496503496503497,0.33444816053511706,0.35587188612099646,0.6578947368421053,0.6711409395973155,0.3472222222222222,0.4587155963302752,0.4629629629629629,0.2785515320334262,0.3787878787878788,0.4385964912280702,0.3717472118959108,0.3597122302158274
6,0.3968253968253968,0.3717472118959108,0.32573289902280134,0.36101083032490977,0.42194092827004215,0.3731343283582089,0.38759689922480617,0.684931506849315,0.31746031746031744,0.7042253521126761,0.3597122302158274,0.3508771929824561,0.2557544757033248,0.3184713375796178,0.3448275862068966,0.3333333333333333,0.3484320557491289,0.6451612903225806,0.6535947712418301,0.35335689045936397,0.4587155963302752,0.4566210045662101,0.2777777777777778,0.3717472118959108,0.4366812227074236,0.3623188405797102,0.35714285714285715
7,0.3802281368821293,0.36900369003690037,0.30864197530864196,0.35714285714285715,0.4098360655737705,0.3676470588235294,0.38910505836575876,0.6711409395973155,0.3164556962025316,0.6944444444444444,0.35714285714285715,0.3508771929824561,0.25125628140703515,0.30864197530864196,0.33444816053511706,0.3333333333333333,0.33670033670033667,0.6211180124223602,0.6369426751592356,0.35211267605633806,0.4608294930875576,0.4464285714285714,0.2785515320334262,0.36363636363636365,0.4366812227074236,0.3424657534246575,0.35335689045936397
8,0.36496350364963503,0.35842293906810035,0.2949852507374631,0.35211267605633806,0.39840637450199207,0.35714285714285715,0.38910505836575876,0.6578947368421053,0.3105590062111801,0.684931506849315,0.3508771929824561,0.3508771929824561,0.24937655860349128,0.29850746268656714,0.3236245954692557,0.33222591362126247,0.3278688524590164,0.5988023952095809,0.6172839506172839,0.3436426116838488,0.4608294930875576,0.4366812227074236,0.2777777777777778,0.35587188612099646,0.4329004329004329,0.3246753246753247,0.3472222222222222
9,0.3508771929824561,0.3472222222222222,0.2898550724637681,0.3460207612456747,0.390625,0.3472222222222222,0.38759689922480617,0.6493506493506493,0.303951367781155,0.6802721088435374,0.3448275862068966,0.3436426116838488,0.24875621890547267,0.29154518950437314,0.31446540880503143,0.33003300330033003,0.31746031746031744,0.5780346820809249,0.6060606060606061,0.33222591362126247,0.4608294930875576,0.4291845493562232,0.2747252747252747,0.3508771929824561,0.4310344827586207,0.3067484662576687,0.341296928327645
