node,year_construction,capacity_existing_energy
AT,2049,120.27137238846628
BE,2049,5.710000000000001
BG,2049,25.344889132292632
CH,2049,89.8040619537035
CZ,2049,2.3000000000000003
DE,2049,39.878
EL,2049,5.14
ES,2049,134.86365154441054
FR,2049,82.68299999999999
HR,2049,9.39699356177283
IE,2049,1.8
IT,2049,144.25390579327612
LT,2049,10.8
LU,2049,1.291
NO,2049,26.07476396671851
PL,2049,15.69
PT,2049,70.5635047678912
SE,2049,1.666711794260845
SI,2049,0.0
SK,2049,0.0
UK,2049,25.430000000000003
